hz,b,c,ph,am,,,,
1710000000,-1.96E+01,1.64E+02,-1.77E+01,1.01E+02,-1.78E+01,1.01E+02,-2.88E+01,1.23E+02
1714900000,-1.99E+01,1.47E+02,-1.74E+01,5.48E+01,-1.76E+01,5.43E+01,-2.81E+01,2.94E+01
1719800000,-2.05E+01,1.28E+02,-1.74E+01,8.86E+00,-1.75E+01,9.43E+00,-2.58E+01,-5.08E+01
1724700000,-2.14E+01,1.09E+02,-1.75E+01,-3.62E+01,-1.74E+01,-3.56E+01,-2.19E+01,-1.16E+02
1729600000,-2.28E+01,8.89E+01,-1.73E+01,-8.04E+01,-1.72E+01,-8.06E+01,-1.95E+01,-1.75E+02
1734500000,-2.48E+01,6.77E+01,-1.70E+01,-1.26E+02,-1.70E+01,-1.26E+02,-1.87E+01,1.27E+02
1739400000,-2.78E+01,4.42E+01,-1.69E+01,-1.73E+02,-1.68E+01,-1.72E+02,-1.88E+01,6.13E+01
1744300000,-3.20E+01,1.36E+01,-1.69E+01,1.43E+02,-1.68E+01,1.42E+02,-1.88E+01,-1.66E+01
1749200000,-3.64E+01,-3.74E+01,-1.66E+01,9.80E+01,-1.68E+01,9.66E+01,-1.77E+01,-9.20E+01
1754100000,-3.68E+01,-9.37E+01,-1.62E+01,5.05E+01,-1.65E+01,5.20E+01,-1.63E+01,-1.57E+02
1759000000,-3.48E+01,-1.27E+02,-1.63E+01,2.91E+00,-1.61E+01,5.52E+00,-1.58E+01,1.37E+02
1763900000,-3.40E+01,-1.46E+02,-1.62E+01,-4.18E+01,-1.58E+01,-4.27E+01,-1.63E+01,6.57E+01
1768800000,-3.37E+01,-1.59E+02,-1.57E+01,-8.90E+01,-1.58E+01,-9.14E+01,-1.67E+01,-1.28E+01
1773700000,-3.43E+01,-1.69E+02,-1.57E+01,-1.39E+02,-1.61E+01,-1.38E+02,-1.63E+01,-8.76E+01
1778600000,-3.58E+01,-1.76E+02,-1.62E+01,1.74E+02,-1.61E+01,1.76E+02,-1.60E+01,-1.56E+02
1783500000,-3.77E+01,-1.70E+02,-1.62E+01,1.29E+02,-1.60E+01,1.29E+02,-1.66E+01,1.35E+02
1788400000,-3.73E+01,-1.53E+02,-1.62E+01,8.14E+01,-1.61E+01,8.11E+01,-1.82E+01,6.07E+01
1793300000,-3.47E+01,-1.44E+02,-1.66E+01,3.37E+01,-1.65E+01,3.38E+01,-1.99E+01,-2.08E+01
1798200000,-3.19E+01,-1.46E+02,-1.70E+01,-1.09E+01,-1.70E+01,-1.13E+01,-2.07E+01,-1.01E+02
1803100000,-2.97E+01,-1.52E+02,-1.71E+01,-5.58E+01,-1.71E+01,-5.58E+01,-2.15E+01,-1.73E+02
1808000000,-2.80E+01,-1.60E+02,-1.72E+01,-1.02E+02,-1.71E+01,-1.01E+02,-2.38E+01,1.15E+02
1812900000,-2.68E+01,-1.69E+02,-1.75E+01,-1.47E+02,-1.73E+01,-1.47E+02,-2.73E+01,2.25E+01
1817800000,-2.64E+01,-1.79E+02,-1.75E+01,1.69E+02,-1.76E+01,1.67E+02,-2.62E+01,-8.17E+01
1822700000,-2.59E+01,1.75E+02,-1.76E+01,1.23E+02,-1.77E+01,1.23E+02,-2.38E+01,-1.58E+02
1827600000,-2.54E+01,1.66E+02,-1.78E+01,7.72E+01,-1.77E+01,7.74E+01,-2.32E+01,1.30E+02
1832500000,-2.52E+01,1.53E+02,-1.79E+01,3.25E+01,-1.79E+01,3.13E+01,-2.30E+01,5.10E+01
1837400000,-2.53E+01,1.38E+02,-1.79E+01,-1.39E+01,-1.82E+01,-1.48E+01,-2.15E+01,-2.80E+01
1842300000,-2.59E+01,1.20E+02,-1.84E+01,-6.04E+01,-1.85E+01,-5.93E+01,-1.96E+01,-9.72E+01
1847200000,-2.68E+01,9.92E+01,-1.88E+01,-1.04E+02,-1.87E+01,-1.03E+02,-1.83E+01,-1.60E+02
1852100000,-2.82E+01,7.40E+01,-1.89E+01,-1.47E+02,-1.88E+01,-1.47E+02,-1.75E+01,1.36E+02
1857000000,-3.02E+01,4.26E+01,-1.89E+01,1.67E+02,-1.88E+01,1.67E+02,-1.71E+01,6.64E+01
1861900000,-3.28E+01,-1.56E+00,-1.93E+01,1.21E+02,-1.92E+01,1.22E+02,-1.71E+01,-9.14E+00
1866800000,-3.36E+01,-6.19E+01,-1.99E+01,7.93E+01,-1.98E+01,7.84E+01,-1.74E+01,-8.04E+01
1871700000,-3.11E+01,-1.08E+02,-1.98E+01,3.84E+01,-1.99E+01,3.80E+01,-1.63E+01,-1.42E+02
1876600000,-2.83E+01,-1.36E+02,-1.96E+01,-5.80E+00,-1.96E+01,-3.94E+00,-1.52E+01,1.55E+02
1881500000,-2.62E+01,-1.57E+02,-1.97E+01,-4.99E+01,-1.93E+01,-4.86E+01,-1.49E+01,8.93E+01
1886400000,-2.50E+01,-1.75E+02,-1.97E+01,-9.14E+01,-1.93E+01,-9.44E+01,-1.51E+01,1.69E+01
1891300000,-2.44E+01,1.68E+02,-1.92E+01,-1.35E+02,-1.95E+01,-1.39E+02,-1.49E+01,-5.61E+01
1896200000,-2.46E+01,1.51E+02,-1.91E+01,1.79E+02,-1.96E+01,1.79E+02,-1.43E+01,-1.23E+02
1901100000,-2.58E+01,1.37E+02,-1.92E+01,1.35E+02,-1.92E+01,1.38E+02,-1.39E+01,1.74E+02
1906000000,-2.68E+01,1.24E+02,-1.88E+01,9.29E+01,-1.85E+01,9.28E+01,-1.42E+01,1.07E+02
1910900000,-2.88E+01,1.06E+02,-1.82E+01,4.72E+01,-1.82E+01,4.56E+01,-1.50E+01,3.30E+01
1915800000,-3.27E+01,8.76E+01,-1.80E+01,-8.34E-01,-1.82E+01,-8.99E-01,-1.56E+01,-4.13E+01
1920700000,-4.10E+01,7.95E+01,-1.81E+01,-4.65E+01,-1.81E+01,-4.58E+01,-1.59E+01,-1.10E+02
1925600000,-4.61E+01,-1.73E+02,-1.79E+01,-9.13E+01,-1.78E+01,-9.07E+01,-1.64E+01,-1.76E+02
1930500000,-3.60E+01,-1.62E+02,-1.76E+01,-1.38E+02,-1.75E+01,-1.38E+02,-1.75E+01,1.17E+02
1935400000,-3.16E+01,-1.75E+02,-1.76E+01,1.74E+02,-1.74E+01,1.75E+02,-1.94E+01,4.78E+01
1940300000,-2.95E+01,1.72E+02,-1.76E+01,1.28E+02,-1.75E+01,1.27E+02,-2.16E+01,-2.38E+01
1945200000,-2.83E+01,1.61E+02,-1.75E+01,8.17E+01,-1.76E+01,8.06E+01,-2.34E+01,-9.56E+01
1950100000,-2.75E+01,1.52E+02,-1.76E+01,3.42E+01,-1.76E+01,3.40E+01,-2.50E+01,-1.62E+02
1955000000,-2.69E+01,1.42E+02,-1.78E+01,-1.31E+01,-1.78E+01,-1.33E+01,-2.85E+01,1.34E+02
1959900000,-2.66E+01,1.32E+02,-1.80E+01,-5.94E+01,-1.81E+01,-6.00E+01,-4.92E+01,3.97E+01
