hz,b,c,ph,am,,,,
1710000000,-1.93E+01,1.76E+02,-1.52E+01,8.62E+01,-1.49E+01,8.30E+01,-1.14E+01,8.51E+01
1714900000,-1.91E+01,1.58E+02,-1.45E+01,3.63E+01,-1.49E+01,3.39E+01,-1.12E+01,8.16E+00
1719800000,-1.92E+01,1.39E+02,-1.50E+01,-1.45E+01,-1.53E+01,-1.28E+01,-1.11E+01,-6.61E+01
1724700000,-1.97E+01,1.18E+02,-1.55E+01,-5.79E+01,-1.54E+01,-5.72E+01,-1.06E+01,-1.35E+02
1729600000,-2.06E+01,9.67E+01,-1.51E+01,-1.02E+02,-1.51E+01,-1.03E+02,-1.03E+01,1.59E+02
1734500000,-2.20E+01,7.45E+01,-1.49E+01,-1.53E+02,-1.49E+01,-1.51E+02,-1.07E+01,8.76E+01
1739400000,-2.38E+01,4.96E+01,-1.56E+01,1.59E+02,-1.53E+01,1.59E+02,-1.21E+01,1.17E+01
1744300000,-2.61E+01,1.94E+01,-1.59E+01,1.16E+02,-1.59E+01,1.13E+02,-1.35E+01,-6.49E+01
1749200000,-2.83E+01,-1.80E+01,-1.58E+01,6.93E+01,-1.63E+01,6.94E+01,-1.42E+01,-1.36E+02
1754100000,-2.92E+01,-5.92E+01,-1.63E+01,2.20E+01,-1.64E+01,2.52E+01,-1.54E+01,1.56E+02
1759000000,-2.86E+01,-9.48E+01,-1.68E+01,-2.11E+01,-1.65E+01,-2.04E+01,-1.84E+01,8.61E+01
1763900000,-2.78E+01,-1.23E+02,-1.69E+01,-6.41E+01,-1.68E+01,-6.55E+01,-2.32E+01,2.41E+00
1768800000,-2.74E+01,-1.47E+02,-1.70E+01,-1.08E+02,-1.71E+01,-1.09E+02,-2.69E+01,-9.92E+01
1773700000,-2.77E+01,-1.68E+02,-1.71E+01,-1.51E+02,-1.70E+01,-1.51E+02,-2.95E+01,1.56E+02
1778600000,-2.87E+01,1.72E+02,-1.69E+01,1.65E+02,-1.69E+01,1.65E+02,-2.87E+01,2.22E+01
1783500000,-3.07E+01,1.53E+02,-1.68E+01,1.20E+02,-1.68E+01,1.20E+02,-2.22E+01,-7.04E+01
1788400000,-3.40E+01,1.40E+02,-1.68E+01,7.62E+01,-1.67E+01,7.68E+01,-1.82E+01,-1.39E+02
1793300000,-3.95E+01,1.45E+02,-1.64E+01,3.29E+01,-1.64E+01,3.30E+01,-1.60E+01,1.56E+02
1798200000,-4.13E+01,-1.57E+02,-1.60E+01,-1.38E+01,-1.59E+01,-1.29E+01,-1.46E+01,8.71E+01
1803100000,-3.50E+01,-1.37E+02,-1.61E+01,-6.04E+01,-1.58E+01,-6.04E+01,-1.36E+01,1.38E+01
1808000000,-3.07E+01,-1.42E+02,-1.60E+01,-1.04E+02,-1.59E+01,-1.07E+02,-1.27E+01,-5.77E+01
1812900000,-2.82E+01,-1.52E+02,-1.55E+01,-1.50E+02,-1.59E+01,-1.51E+02,-1.17E+01,-1.23E+02
