hz,b,c,ph,am,,,,
1710000000,-2.09E+01,1.58E+02,-1.56E+01,1.18E+02,-1.58E+01,1.18E+02,-1.99E+01,-9.68E+01
1714900000,-2.16E+01,1.42E+02,-1.58E+01,7.40E+01,-1.57E+01,7.46E+01,-2.06E+01,1.78E+02
1719800000,-2.24E+01,1.27E+02,-1.55E+01,2.95E+01,-1.55E+01,2.93E+01,-2.17E+01,8.86E+01
1724700000,-2.35E+01,1.11E+02,-1.54E+01,-1.75E+01,-1.54E+01,-1.70E+01,-2.12E+01,-1.22E+01
1729600000,-2.51E+01,9.48E+01,-1.56E+01,-6.21E+01,-1.55E+01,-6.22E+01,-1.81E+01,-9.88E+01
1734500000,-2.75E+01,8.02E+01,-1.52E+01,-1.06E+02,-1.54E+01,-1.06E+02,-1.56E+01,-1.68E+02
1739400000,-3.09E+01,6.78E+01,-1.49E+01,-1.53E+02,-1.50E+01,-1.52E+02,-1.41E+01,1.26E+02
1744300000,-3.54E+01,6.01E+01,-1.51E+01,1.59E+02,-1.48E+01,1.61E+02,-1.35E+01,5.48E+01
1749200000,-4.19E+01,5.26E+01,-1.51E+01,1.16E+02,-1.49E+01,1.13E+02,-1.30E+01,-2.08E+01
1754100000,-5.82E+01,3.38E+01,-1.45E+01,7.01E+01,-1.51E+01,6.76E+01,-1.20E+01,-9.24E+01
1759000000,-4.68E+01,-1.15E+02,-1.45E+01,1.94E+01,-1.50E+01,2.33E+01,-1.09E+01,-1.58E+02
1763900000,-4.03E+01,-1.25E+02,-1.52E+01,-2.68E+01,-1.47E+01,-2.25E+01,-1.00E+01,1.36E+02
1768800000,-3.70E+01,-1.36E+02,-1.51E+01,-6.89E+01,-1.44E+01,-7.19E+01,-9.59E+00,6.29E+01
1773700000,-3.62E+01,-1.49E+02,-1.45E+01,-1.17E+02,-1.49E+01,-1.21E+02,-9.62E+00,-1.25E+01
1778600000,-3.65E+01,-1.56E+02,-1.51E+01,-1.68E+02,-1.56E+01,-1.66E+02,-9.54E+00,-8.29E+01
1783500000,-3.79E+01,-1.54E+02,-1.60E+01,1.49E+02,-1.58E+01,1.52E+02,-9.17E+00,-1.49E+02
1788400000,-3.69E+01,-1.35E+02,-1.58E+01,1.08E+02,-1.55E+01,1.08E+02,-8.75E+00,1.44E+02
1793300000,-3.34E+01,-1.29E+02,-1.54E+01,5.95E+01,-1.54E+01,5.97E+01,-8.82E+00,7.11E+01
1798200000,-3.01E+01,-1.36E+02,-1.62E+01,1.19E+01,-1.59E+01,1.19E+01,-9.66E+00,-4.12E+00
1803100000,-2.77E+01,-1.47E+02,-1.66E+01,-2.89E+01,-1.66E+01,-3.15E+01,-1.06E+01,-7.56E+01
1808000000,-2.59E+01,-1.60E+02,-1.63E+01,-7.15E+01,-1.67E+01,-7.21E+01,-1.12E+01,-1.43E+02
1812900000,-2.48E+01,-1.74E+02,-1.63E+01,-1.17E+02,-1.63E+01,-1.14E+02,-1.19E+01,1.51E+02
1817800000,-2.46E+01,1.71E+02,-1.64E+01,-1.61E+02,-1.59E+01,-1.60E+02,-1.36E+01,8.07E+01
1822700000,-2.48E+01,1.60E+02,-1.62E+01,1.56E+02,-1.60E+01,1.53E+02,-1.62E+01,6.62E+00
1827600000,-2.52E+01,1.48E+02,-1.58E+01,1.10E+02,-1.61E+01,1.09E+02,-1.88E+01,-6.58E+01
1832500000,-2.60E+01,1.35E+02,-1.57E+01,6.40E+01,-1.60E+01,6.47E+01,-2.21E+01,-1.31E+02
1837400000,-2.71E+01,1.21E+02,-1.57E+01,1.90E+01,-1.57E+01,1.96E+01,-2.83E+01,1.80E+02
1842300000,-2.88E+01,1.04E+02,-1.56E+01,-2.68E+01,-1.56E+01,-2.62E+01,-3.44E+01,-1.42E+02
1847200000,-3.09E+01,8.71E+01,-1.56E+01,-7.27E+01,-1.55E+01,-7.20E+01,-2.54E+01,-1.64E+02
1852100000,-3.38E+01,6.45E+01,-1.55E+01,-1.18E+02,-1.54E+01,-1.18E+02,-2.15E+01,1.38E+02
1857000000,-3.84E+01,3.08E+01,-1.54E+01,-1.64E+02,-1.53E+01,-1.64E+02,-1.93E+01,7.14E+01
1861900000,-4.20E+01,-5.02E+01,-1.56E+01,1.49E+02,-1.54E+01,1.49E+02,-1.76E+01,-7.90E-02
1866800000,-3.65E+01,-1.21E+02,-1.57E+01,1.05E+02,-1.56E+01,1.04E+02,-1.57E+01,-7.15E+01
1871700000,-3.30E+01,-1.46E+02,-1.53E+01,6.05E+01,-1.55E+01,5.95E+01,-1.40E+01,-1.39E+02
1876600000,-3.03E+01,-1.58E+02,-1.51E+01,1.19E+01,-1.53E+01,1.43E+01,-1.26E+01,1.57E+02
1881500000,-2.83E+01,-1.70E+02,-1.55E+01,-3.56E+01,-1.50E+01,-3.34E+01,-1.17E+01,9.00E+01
1886400000,-2.70E+01,1.79E+02,-1.57E+01,-7.89E+01,-1.52E+01,-8.27E+01,-1.15E+01,1.74E+01
1891300000,-2.62E+01,1.67E+02,-1.53E+01,-1.25E+02,-1.58E+01,-1.30E+02,-1.13E+01,-5.48E+01
1896200000,-2.60E+01,1.53E+02,-1.56E+01,-1.75E+02,-1.63E+01,-1.74E+02,-1.08E+01,-1.21E+02
1901100000,-2.69E+01,1.41E+02,-1.64E+01,1.40E+02,-1.63E+01,1.44E+02,-1.04E+01,1.76E+02
1906000000,-2.76E+01,1.29E+02,-1.64E+01,9.81E+01,-1.59E+01,9.80E+01,-1.02E+01,1.09E+02
1910900000,-2.93E+01,1.11E+02,-1.61E+01,5.18E+01,-1.61E+01,4.90E+01,-1.05E+01,3.64E+01
1915800000,-3.31E+01,9.24E+01,-1.64E+01,2.75E+00,-1.67E+01,2.20E+00,-1.12E+01,-3.47E+01
1920700000,-4.16E+01,8.22E+01,-1.72E+01,-4.22E+01,-1.73E+01,-4.12E+01,-1.16E+01,-9.96E+01
1925600000,-4.43E+01,-1.49E+02,-1.75E+01,-8.35E+01,-1.75E+01,-8.28E+01,-1.16E+01,-1.62E+02
1930500000,-3.43E+01,-1.55E+02,-1.72E+01,-1.28E+02,-1.72E+01,-1.27E+02,-1.17E+01,1.34E+02
1935400000,-3.00E+01,-1.71E+02,-1.75E+01,-1.75E+02,-1.72E+01,-1.74E+02,-1.21E+01,6.55E+01
1940300000,-2.78E+01,1.73E+02,-1.80E+01,1.42E+02,-1.76E+01,1.40E+02,-1.31E+01,-4.08E+00
1945200000,-2.65E+01,1.58E+02,-1.80E+01,9.94E+01,-1.81E+01,9.65E+01,-1.42E+01,-7.10E+01
1950100000,-2.60E+01,1.44E+02,-1.79E+01,5.47E+01,-1.83E+01,5.46E+01,-1.49E+01,-1.35E+02
1955000000,-2.58E+01,1.31E+02,-1.82E+01,1.02E+01,-1.82E+01,1.18E+01,-1.56E+01,1.64E+02
1959900000,-2.60E+01,1.18E+02,-1.83E+01,-3.22E+01,-1.81E+01,-3.20E+01,-1.71E+01,1.03E+02
1964800000,-2.65E+01,1.04E+02,-1.81E+01,-7.54E+01,-1.80E+01,-7.66E+01,-1.97E+01,4.10E+01
1969700000,-2.74E+01,9.08E+01,-1.79E+01,-1.21E+02,-1.81E+01,-1.21E+02,-2.29E+01,-2.43E+01
1974600000,-2.82E+01,7.70E+01,-1.79E+01,-1.65E+02,-1.81E+01,-1.65E+02,-2.56E+01,-8.69E+01
1979500000,-2.92E+01,6.00E+01,-1.79E+01,1.50E+02,-1.79E+01,1.51E+02,-2.69E+01,-1.35E+02
1984400000,-3.13E+01,3.94E+01,-1.79E+01,1.05E+02,-1.79E+01,1.06E+02,-2.67E+01,-1.67E+02
1989300000,-3.30E+01,3.50E+01,-1.78E+01,6.13E+01,-1.78E+01,6.17E+01,-2.43E+01,1.59E+02
1994200000,-3.32E+01,8.72E+00,-1.76E+01,1.57E+01,-1.76E+01,1.65E+01,-2.20E+01,1.12E+02
1999100000,-3.37E+01,-2.60E+01,-1.76E+01,-3.00E+01,-1.74E+01,-2.94E+01,-2.04E+01,5.32E+01
2004000000,-3.27E+01,-6.39E+01,-1.77E+01,-7.51E+01,-1.74E+01,-7.61E+01,-1.90E+01,-1.39E+01
2008900000,-3.01E+01,-9.52E+01,-1.76E+01,-1.20E+02,-1.76E+01,-1.22E+02,-1.75E+01,-8.08E+01
2013800000,-2.73E+01,-1.20E+02,-1.75E+01,-1.67E+02,-1.77E+01,-1.67E+02,-1.60E+01,-1.43E+02
2018700000,-2.53E+01,-1.41E+02,-1.78E+01,1.47E+02,-1.77E+01,1.48E+02,-1.49E+01,1.57E+02
2023600000,-2.38E+01,-1.58E+02,-1.81E+01,1.03E+02,-1.76E+01,1.02E+02,-1.45E+01,9.29E+01
