hz,b,c,ph,am,,,,
1710000000,-1.91E+01,1.56E+02,-1.83E+01,1.49E+02,-1.82E+01,1.48E+02,-1.81E+01,1.09E+02
1714900000,-1.96E+01,1.37E+02,-1.76E+01,1.03E+02,-1.78E+01,1.01E+02,-1.70E+01,4.12E+01
1719800000,-2.05E+01,1.17E+02,-1.74E+01,5.38E+01,-1.76E+01,5.45E+01,-1.59E+01,-3.01E+01
1724700000,-2.17E+01,9.66E+01,-1.75E+01,7.72E+00,-1.74E+01,8.73E+00,-1.43E+01,-9.73E+01
1729600000,-2.36E+01,7.47E+01,-1.71E+01,-3.61E+01,-1.71E+01,-3.66E+01,-1.28E+01,-1.60E+02
1734500000,-2.63E+01,5.06E+01,-1.64E+01,-8.40E+01,-1.66E+01,-8.33E+01,-1.17E+01,1.38E+02
1739400000,-3.04E+01,2.02E+01,-1.64E+01,-1.35E+02,-1.62E+01,-1.32E+02,-1.13E+01,6.97E+01
1744300000,-3.55E+01,-2.90E+01,-1.68E+01,1.79E+02,-1.63E+01,1.78E+02,-1.15E+01,-3.65E+00
1749200000,-3.60E+01,-9.63E+01,-1.64E+01,1.35E+02,-1.67E+01,1.31E+02,-1.13E+01,-7.54E+01
1754100000,-3.35E+01,-1.37E+02,-1.60E+01,8.44E+01,-1.67E+01,8.57E+01,-1.07E+01,-1.42E+02
1759000000,-3.19E+01,-1.60E+02,-1.66E+01,3.46E+01,-1.65E+01,3.98E+01,-1.02E+01,1.52E+02
1763900000,-3.16E+01,-1.79E+02,-1.70E+01,-8.94E+00,-1.63E+01,-9.50E+00,-1.03E+01,8.13E+01
1768800000,-3.22E+01,1.63E+02,-1.66E+01,-5.47E+01,-1.66E+01,-5.94E+01,-1.11E+01,5.68E+00
1773700000,-3.40E+01,1.42E+02,-1.67E+01,-1.06E+02,-1.73E+01,-1.06E+02,-1.17E+01,-6.73E+01
1778600000,-3.76E+01,1.15E+02,-1.76E+01,-1.53E+02,-1.77E+01,-1.50E+02,-1.21E+01,-1.35E+02
1783500000,-4.44E+01,4.80E+01,-1.80E+01,1.65E+02,-1.77E+01,1.66E+02,-1.27E+01,1.59E+02
1788400000,-3.89E+01,-5.18E+01,-1.78E+01,1.21E+02,-1.78E+01,1.20E+02,-1.41E+01,8.99E+01
1793300000,-3.24E+01,-8.78E+01,-1.81E+01,7.38E+01,-1.80E+01,7.39E+01,-1.61E+01,1.61E+01
1798200000,-2.85E+01,-1.13E+02,-1.85E+01,2.99E+01,-1.84E+01,2.94E+01,-1.81E+01,-5.91E+01
1803100000,-2.61E+01,-1.34E+02,-1.85E+01,-1.36E+01,-1.85E+01,-1.40E+01,-1.98E+01,-1.30E+02
1808000000,-2.45E+01,-1.52E+02,-1.85E+01,-5.90E+01,-1.84E+01,-5.86E+01,-2.25E+01,1.64E+02
1812900000,-2.35E+01,-1.69E+02,-1.86E+01,-1.04E+02,-1.84E+01,-1.04E+02,-2.95E+01,9.14E+01
1817800000,-2.34E+01,1.75E+02,-1.86E+01,-1.48E+02,-1.85E+01,-1.49E+02,-3.44E+01,-8.92E+01
1822700000,-2.36E+01,1.62E+02,-1.85E+01,1.67E+02,-1.86E+01,1.66E+02,-2.57E+01,-1.75E+02
1827600000,-2.40E+01,1.49E+02,-1.86E+01,1.22E+02,-1.85E+01,1.21E+02,-2.27E+01,1.12E+02
1832500000,-2.47E+01,1.35E+02,-1.86E+01,7.73E+01,-1.86E+01,7.56E+01,-2.04E+01,3.49E+01
1837400000,-2.55E+01,1.20E+02,-1.84E+01,3.11E+01,-1.87E+01,3.02E+01,-1.80E+01,-3.91E+01
1842300000,-2.65E+01,1.01E+02,-1.87E+01,-1.58E+01,-1.89E+01,-1.40E+01,-1.60E+01,-1.06E+02
1847200000,-2.79E+01,7.92E+01,-1.91E+01,-5.88E+01,-1.89E+01,-5.72E+01,-1.45E+01,-1.69E+02
1852100000,-2.96E+01,5.11E+01,-1.88E+01,-1.01E+02,-1.86E+01,-1.02E+02,-1.34E+01,1.26E+02
1857000000,-3.17E+01,1.30E+01,-1.85E+01,-1.48E+02,-1.85E+01,-1.48E+02,-1.28E+01,5.68E+01
1861900000,-3.29E+01,-3.94E+01,-1.89E+01,1.66E+02,-1.87E+01,1.66E+02,-1.27E+01,-1.36E+01
1866800000,-3.16E+01,-9.26E+01,-1.89E+01,1.23E+02,-1.87E+01,1.22E+02,-1.21E+01,-8.06E+01
1871700000,-2.93E+01,-1.26E+02,-1.83E+01,7.88E+01,-1.87E+01,7.79E+01,-1.11E+01,-1.45E+02
1876600000,-2.71E+01,-1.48E+02,-1.81E+01,2.99E+01,-1.83E+01,3.35E+01,-1.01E+01,1.51E+02
1881500000,-2.55E+01,-1.67E+02,-1.86E+01,-1.67E+01,-1.79E+01,-1.43E+01,-9.55E+00,8.32E+01
1886400000,-2.45E+01,1.77E+02,-1.87E+01,-5.87E+01,-1.80E+01,-6.38E+01,-9.60E+00,1.10E+01
1891300000,-2.42E+01,1.61E+02,-1.80E+01,-1.05E+02,-1.86E+01,-1.10E+02,-9.72E+00,-5.94E+01
1896200000,-2.46E+01,1.44E+02,-1.80E+01,-1.55E+02,-1.89E+01,-1.53E+02,-9.47E+00,-1.24E+02
1901100000,-2.56E+01,1.30E+02,-1.90E+01,1.58E+02,-1.89E+01,1.63E+02,-8.99E+00,1.74E+02
1906000000,-2.66E+01,1.14E+02,-1.91E+01,1.18E+02,-1.85E+01,1.17E+02,-8.76E+00,1.06E+02
1910900000,-2.87E+01,9.23E+01,-1.85E+01,7.13E+01,-1.85E+01,6.79E+01,-9.14E+00,3.38E+01
1915800000,-3.26E+01,6.42E+01,-1.89E+01,2.14E+01,-1.92E+01,2.09E+01,-9.81E+00,-3.69E+01
1920700000,-3.99E+01,1.34E+01,-1.96E+01,-2.30E+01,-1.98E+01,-2.18E+01,-1.02E+01,-1.02E+02
1925600000,-3.88E+01,-9.13E+01,-1.98E+01,-6.45E+01,-1.98E+01,-6.36E+01,-1.03E+01,-1.64E+02
1930500000,-3.23E+01,-1.34E+02,-1.95E+01,-1.09E+02,-1.95E+01,-1.07E+02,-1.01E+01,1.31E+02
1935400000,-2.86E+01,-1.59E+02,-1.97E+01,-1.56E+02,-1.93E+01,-1.55E+02,-1.04E+01,6.19E+01
1940300000,-2.67E+01,-1.79E+02,-2.01E+01,1.60E+02,-1.97E+01,1.57E+02,-1.13E+01,-9.26E+00
1945200000,-2.54E+01,1.64E+02,-2.01E+01,1.17E+02,-2.03E+01,1.14E+02,-1.24E+01,-7.70E+01
1950100000,-2.47E+01,1.49E+02,-2.02E+01,7.19E+01,-2.06E+01,7.21E+01,-1.31E+01,-1.41E+02
1955000000,-2.43E+01,1.34E+02,-2.05E+01,2.82E+01,-2.05E+01,3.02E+01,-1.38E+01,1.56E+02
1959900000,-2.44E+01,1.18E+02,-2.04E+01,-1.33E+01,-2.01E+01,-1.33E+01,-1.51E+01,9.41E+01
