hz,b,c,ph,am,,,,
1710000000,-1.88E+01,1.72E+02,-1.69E+01,6.86E+01,-1.69E+01,6.82E+01,-2.47E+01,1.71E+02
1714900000,-1.88E+01,1.53E+02,-1.70E+01,2.53E+01,-1.71E+01,2.46E+01,-2.54E+01,8.90E+01
1719800000,-1.92E+01,1.33E+02,-1.70E+01,-1.93E+01,-1.71E+01,-1.91E+01,-2.45E+01,-8.13E+00
1724700000,-2.00E+01,1.12E+02,-1.71E+01,-6.34E+01,-1.71E+01,-6.28E+01,-2.11E+01,-9.16E+01
1729600000,-2.12E+01,9.14E+01,-1.71E+01,-1.06E+02,-1.70E+01,-1.06E+02,-1.84E+01,-1.58E+02
1734500000,-2.29E+01,6.98E+01,-1.66E+01,-1.50E+02,-1.67E+01,-1.49E+02,-1.71E+01,1.39E+02
1739400000,-2.53E+01,4.61E+01,-1.65E+01,1.64E+02,-1.64E+01,1.65E+02,-1.69E+01,7.14E+01
1744300000,-2.82E+01,1.73E+01,-1.65E+01,1.20E+02,-1.63E+01,1.19E+02,-1.69E+01,-6.78E+00
1749200000,-3.10E+01,-2.02E+01,-1.60E+01,7.62E+01,-1.62E+01,7.43E+01,-1.58E+01,-8.43E+01
1754100000,-3.20E+01,-6.21E+01,-1.55E+01,2.81E+01,-1.60E+01,2.99E+01,-1.44E+01,-1.54E+02
1759000000,-3.11E+01,-9.66E+01,-1.57E+01,-1.97E+01,-1.54E+01,-1.63E+01,-1.38E+01,1.36E+02
1763900000,-2.99E+01,-1.21E+02,-1.56E+01,-6.43E+01,-1.51E+01,-6.58E+01,-1.42E+01,5.90E+01
1768800000,-2.90E+01,-1.42E+02,-1.52E+01,-1.13E+02,-1.54E+01,-1.15E+02,-1.48E+01,-2.36E+01
1773700000,-2.88E+01,-1.62E+02,-1.55E+01,-1.63E+02,-1.59E+01,-1.62E+02,-1.49E+01,-1.01E+02
1778600000,-2.95E+01,1.78E+02,-1.62E+01,1.51E+02,-1.61E+01,1.53E+02,-1.54E+01,-1.73E+02
1783500000,-3.14E+01,1.60E+02,-1.64E+01,1.06E+02,-1.63E+01,1.06E+02,-1.69E+01,1.13E+02
1788400000,-3.46E+01,1.49E+02,-1.67E+01,5.97E+01,-1.67E+01,5.95E+01,-1.95E+01,3.19E+01
1793300000,-3.99E+01,1.62E+02,-1.73E+01,1.48E+01,-1.72E+01,1.49E+01,-2.15E+01,-5.62E+01
1798200000,-3.86E+01,-1.49E+02,-1.75E+01,-2.81E+01,-1.75E+01,-2.84E+01,-2.22E+01,-1.38E+02
1803100000,-3.32E+01,-1.40E+02,-1.76E+01,-7.24E+01,-1.76E+01,-7.19E+01,-2.32E+01,1.45E+02
1808000000,-2.96E+01,-1.47E+02,-1.79E+01,-1.17E+02,-1.78E+01,-1.17E+02,-2.53E+01,5.60E+01
1812900000,-2.73E+01,-1.58E+02,-1.82E+01,-1.61E+02,-1.81E+01,-1.62E+02,-2.45E+01,-4.35E+01
1817800000,-2.63E+01,-1.70E+02,-1.83E+01,1.57E+02,-1.85E+01,1.56E+02,-2.11E+01,-1.23E+02
1822700000,-2.56E+01,-1.78E+02,-1.84E+01,1.13E+02,-1.84E+01,1.14E+02,-1.94E+01,1.68E+02
1827600000,-2.50E+01,1.71E+02,-1.86E+01,6.99E+01,-1.83E+01,6.96E+01,-1.88E+01,9.69E+01
1832500000,-2.47E+01,1.58E+02,-1.84E+01,2.76E+01,-1.84E+01,2.51E+01,-1.81E+01,2.06E+01
1837400000,-2.47E+01,1.42E+02,-1.82E+01,-1.77E+01,-1.86E+01,-1.84E+01,-1.68E+01,-5.32E+01
1842300000,-2.51E+01,1.23E+02,-1.85E+01,-6.20E+01,-1.87E+01,-6.01E+01,-1.56E+01,-1.20E+02
