hz,b,c,ph,am,,,,
1710000000,-1.85E+01,1.67E+02,-2.03E+01,6.74E+01,-2.05E+01,6.71E+01,-2.78E+01,-1.40E+02
1714900000,-1.87E+01,1.48E+02,-2.05E+01,2.31E+01,-2.05E+01,2.30E+01,-3.01E+01,1.49E+02
1719800000,-1.92E+01,1.28E+02,-2.05E+01,-2.14E+01,-2.06E+01,-2.11E+01,-3.64E+01,4.44E+01
1724700000,-2.00E+01,1.07E+02,-2.07E+01,-6.62E+01,-2.07E+01,-6.56E+01,-2.89E+01,-9.02E+01
1729600000,-2.13E+01,8.46E+01,-2.09E+01,-1.10E+02,-2.08E+01,-1.10E+02,-2.50E+01,-1.57E+02
1734500000,-2.32E+01,6.11E+01,-2.08E+01,-1.53E+02,-2.08E+01,-1.53E+02,-2.31E+01,1.54E+02
1739400000,-2.57E+01,3.40E+01,-2.06E+01,1.63E+02,-2.06E+01,1.63E+02,-2.31E+01,9.69E+01
1744300000,-2.87E+01,-3.80E-02,-2.06E+01,1.19E+02,-2.05E+01,1.19E+02,-2.42E+01,2.37E+01
1749200000,-3.09E+01,-4.46E+01,-2.04E+01,7.50E+01,-2.04E+01,7.41E+01,-2.32E+01,-5.88E+01
1754100000,-3.09E+01,-8.84E+01,-2.01E+01,2.96E+01,-2.03E+01,2.98E+01,-2.09E+01,-1.27E+02
1759000000,-2.98E+01,-1.20E+02,-2.00E+01,-1.69E+01,-2.00E+01,-1.50E+01,-1.97E+01,1.75E+02
1763900000,-2.90E+01,-1.43E+02,-2.00E+01,-6.20E+01,-1.97E+01,-6.14E+01,-1.98E+01,1.14E+02
1768800000,-2.87E+01,-1.65E+02,-1.97E+01,-1.07E+02,-1.96E+01,-1.09E+02,-2.05E+01,4.44E+01
1773700000,-2.93E+01,1.74E+02,-1.95E+01,-1.54E+02,-1.97E+01,-1.55E+02,-2.00E+01,-3.04E+01
1778600000,-3.08E+01,1.53E+02,-1.96E+01,1.58E+02,-1.98E+01,1.59E+02,-1.87E+01,-9.81E+01
1783500000,-3.39E+01,1.30E+02,-1.98E+01,1.13E+02,-1.98E+01,1.14E+02,-1.77E+01,-1.60E+02
1788400000,-4.08E+01,1.04E+02,-1.98E+01,6.81E+01,-1.96E+01,6.82E+01,-1.73E+01,1.38E+02
1793300000,-4.72E+01,-7.02E+01,-1.97E+01,2.08E+01,-1.96E+01,2.10E+01,-1.77E+01,6.93E+01
1798200000,-3.49E+01,-1.04E+02,-2.00E+01,-2.61E+01,-1.98E+01,-2.60E+01,-1.81E+01,-4.00E+00
1803100000,-3.01E+01,-1.22E+02,-2.02E+01,-7.09E+01,-2.01E+01,-7.20E+01,-1.79E+01,-7.64E+01
1808000000,-2.71E+01,-1.39E+02,-2.01E+01,-1.17E+02,-2.03E+01,-1.17E+02,-1.74E+01,-1.43E+02
1812900000,-2.53E+01,-1.55E+02,-2.04E+01,-1.65E+02,-2.04E+01,-1.64E+02,-1.77E+01,1.51E+02
1817800000,-2.45E+01,-1.70E+02,-2.11E+01,1.50E+02,-2.07E+01,1.50E+02,-1.95E+01,8.03E+01
1822700000,-2.39E+01,1.79E+02,-2.12E+01,1.06E+02,-2.11E+01,1.04E+02,-2.16E+01,2.39E+00
1827600000,-2.35E+01,1.65E+02,-2.15E+01,6.04E+01,-2.17E+01,5.92E+01,-2.27E+01,-7.69E+01
1832500000,-2.35E+01,1.50E+02,-2.21E+01,1.60E+01,-2.23E+01,1.63E+01,-2.41E+01,-1.48E+02
