!	NAME	
!	LENTH	0
!	DATE	2017-08-24
!	FREQ	2575
!	COUNT	1963
!	GAIN	0
!	PLANE	V
!	MAIN	M
!	POLARIZE	-45
!	PORT	1
179.99	-63.90	-57.20
-179.90	-63.68	-57.20
-179.77	-63.68	-57.22
-179.64	-63.47	-57.19
-179.37	-63.47	-57.17
-179.13	-63.45	-57.15
-179.00	-63.48	-57.15
-178.76	-63.61	-57.15
-178.49	-63.83	-57.15
-178.25	-63.83	-57.13
-177.99	-64.15	-57.13
-177.77	-64.43	-57.14
-177.64	-64.78	-57.16
-177.40	-65.28	-57.16
-177.11	-65.28	-57.14
-177.02	-65.70	-57.14
-176.87	-66.13	-57.11
-176.61	-66.13	-57.11
-176.36	-66.61	-57.11
-176.23	-66.98	-57.07
-175.99	-66.98	-57.07
-175.73	-67.22	-57.07
-175.62	-67.38	-57.07
-175.35	-67.38	-57.03
-175.24	-67.27	-57.03
-174.98	-67.09	-56.99
-174.85	-67.09	-56.99
-174.61	-66.87	-56.99
-174.47	-66.47	-56.96
-174.23	-66.47	-56.98
-174.08	-66.19	-56.98
-173.86	-65.83	-57.00
-173.70	-65.83	-57.00
-173.48	-65.56	-57.00
-173.33	-65.31	-56.95
-173.09	-65.19	-56.95
-172.85	-65.19	-56.98
-172.72	-65.07	-56.98
-172.47	-65.05	-57.02
-172.34	-65.05	-57.02
-172.10	-65.12	-57.09
-171.95	-65.24	-57.09
-171.70	-65.47	-57.17
-171.46	-65.47	-57.17
-171.31	-65.86	-57.30
-171.07	-66.34	-57.30
-170.91	-66.34	-57.30
-170.67	-66.91	-57.46
-170.41	-67.65	-57.46
-170.14	-68.51	-57.68
-169.88	-69.60	-57.68
-169.75	-69.60	-57.68
-169.51	-70.82	-57.85
-169.38	-70.82	-57.85
-169.13	-72.07	-58.04
-169.00	-73.47	-58.04
-168.76	-74.95	-58.35
-168.52	-76.11	-58.35
-168.25	-76.87	-58.55
-168.01	-76.87	-58.55
-167.90	-76.80	-58.75
-167.62	-76.80	-58.75
-167.51	-75.77	-58.83
-167.27	-74.77	-58.83
-167.13	-74.77	-58.73
-166.89	-73.65	-58.73
-166.74	-72.67	-58.46
-166.52	-72.67	-58.46
-166.39	-71.97	-58.46
-166.15	-71.46	-58.02
-165.99	-71.46	-58.02
-165.75	-70.98	-57.44
-165.62	-70.70	-57.44
-165.35	-70.70	-56.71
-165.24	-70.47	-56.71
-165.00	-70.37	-55.95
-164.76	-70.42	-55.95
-164.50	-70.45	-55.95
-164.23	-70.45	-55.12
-164.12	-70.68	-55.12
-163.86	-70.92	-54.26
-163.75	-70.92	-54.26
-163.49	-71.32	-53.47
-163.38	-71.72	-53.47
-163.11	-71.72	-52.68
-163.00	-72.24	-52.68
-162.74	-72.77	-52.68
-162.61	-72.77	-51.93
-162.34	-73.39	-51.93
-162.23	-74.05	-51.27
-161.97	-74.05	-51.27
-161.84	-74.64	-50.66
-161.60	-74.86	-50.66
-161.44	-74.86	-50.10
-161.20	-75.08	-50.10
-161.07	-75.03	-49.56
-160.81	-74.64	-49.56
-160.56	-74.30	-49.06
-160.30	-74.30	-49.06
-160.19	-73.78	-49.06
-159.90	-73.25	-48.62
-159.79	-73.25	-48.62
