,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-19.33856806,-18.91734432,-16.93902853,-16.64243956,-16.89567904,-17.24721688,-18.19390707,-18.16236344,-18.14060537,-15.89518128,-16.42877395,-17.66689319
-179,-19.21554191,-18.81228004,-17.11221867,-16.78330296,-16.97988113,-17.25848752,-18.10284266,-18.07189126,-18.04935461,-15.92712148,-16.35555635,-17.4089091
-178,-18.96060559,-18.67734946,-17.55323591,-17.15521296,-17.21743965,-17.32831658,-17.77675562,-17.75542699,-17.74059895,-16.02876989,-16.20445932,-16.86312311
-177,-18.58946415,-18.4893312,-18.15373802,-17.60457685,-17.45745075,-17.33092506,-17.29122203,-17.28553815,-17.28390778,-16.0585815,-15.85624153,-16.06583559
-176,-18.14382592,-18.24941203,-18.76673816,-17.97563436,-17.58951321,-17.22368129,-16.79938486,-16.81107258,-16.82399347,-15.97305591,-15.38847851,-15.24791315
-175,-17.68456235,-17.99950158,-19.25793985,-18.22054988,-17.64366804,-17.10807554,-16.4690904,-16.49593375,-16.52115407,-15.86349154,-15.00969501,-14.64651165
-174,-17.26545124,-17.79243955,-19.53707962,-18.39595709,-17.73494289,-17.13047493,-16.41196325,-16.44892296,-16.48170232,-15.82057317,-14.85472914,-14.35289087
-173,-16.90969401,-17.64746085,-19.53014585,-18.52988843,-17.91861176,-17.35456776,-16.65541041,-16.69543949,-16.72932581,-15.81624696,-14.90277384,-14.31683094
-172,-16.60229132,-17.52879154,-19.1736652,-18.53499061,-18.11332285,-17.70812973,-17.14250413,-17.17787266,-17.20600004,-15.7285158,-15.01659851,-14.41135454
-171,-16.29956463,-17.36494162,-18.50334106,-18.29671495,-18.16037761,-18.01734125,-17.7479453,-17.77390169,-17.79244921,-15.48430627,-15.05054163,-14.50940095
-170,-15.95261958,-17.1040153,-17.69910583,-17.84999832,-17.9947243,-18.14112898,-18.32136961,-18.34170361,-18.35492525,-15.16317429,-14.96600711,-14.54545596
-169,-15.53460798,-16.7629583,-16.984335,-17.38664099,-17.73062557,-18.09952882,-18.74520368,-18.77398368,-18.79566327,-14.93322006,-14.8464939,-14.53248438
-168,-15.05424839,-16.41977513,-16.51691312,-17.09043296,-17.53416016,-18.01087992,-18.94786224,-19.00273718,-19.05024635,-14.93062468,-14.81524594,-14.53986425
-167,-14.54658693,-16.16044048,-16.36149749,-17.02241453,-17.46565447,-17.92172519,-18.87571728,-18.96794249,-19.05299676,-15.20997629,-14.96633523,-14.65819714
-166,-14.05199382,-16.03325161,-16.49957531,-17.10464831,-17.43824542,-17.74712545,-18.52450399,-18.65475533,-18.77833733,-15.74857518,-15.34598489,-14.96277943
-165,-13.60029493,-16.03209029,-16.83708793,-17.16840941,-17.29724905,-17.38217338,-18.01353177,-18.17653061,-18.3322582,-16.45946516,-15.95038249,-15.48238354
-164,-13.2060761,-16.10059809,-17.21613464,-17.07833193,-16.98246313,-16.86678178,-17.55701786,-17.74764212,-17.92815876,-17.19970326,-16.71542771,-16.18277248
-163,-12.87141659,-16.15175236,-17.46613631,-16.86000928,-16.61155735,-16.39019669,-17.35435813,-17.56775287,-17.76570578,-17.78584018,-17.50589044,-16.97509852
-162,-12.59065638,-16.1022522,-17.4963219,-16.67484633,-16.3826954,-16.15559199,-17.52550012,-17.7518002,-17.95491789,-18.05535212,-18.14854618,-17.75529685
-161,-12.35414024,-15.90835907,-17.33981659,-16.68708079,-16.44996995,-16.29473211,-18.09933175,-18.31467761,-18.49733053,-17.98556013,-18.54724466,-18.45206666
-160,-12.1503865,-15.57781244,-17.0921596,-16.98297017,-16.88480044,-16.8642811,-19.00207013,-19.15746681,-19.27257564,-17.74433715,-18.78057786,-19.03002536
-159,-11.96758285,-15.1522306,-16.83181242,-17.56142735,-17.68403995,-17.86151576,-20.03081541,-20.05278814,-20.04035169,-17.57687577,-19.03143965,-19.43746929
-158,-11.79548693,-14.68296113,-16.60120054,-18.34946001,-18.77865478,-19.22605043,-20.8855384,-20.7203142,-20.5531422,-17.66345481,-19.42197149,-19.57232003
-157,-11.62791598,-14.21898102,-16.42930563,-19.23064343,-20.03874054,-20.82355567,-21.36583737,-21.04286641,-20.76422834,-18.05382683,-19.89017717,-19.34110127
-156,-11.46482771,-13.80473702,-16.35180294,-20.090951,-21.28792416,-22.41542097,-21.54010995,-21.14994342,-20.83427217,-18.63443961,-20.14536093,-18.76366928
-155,-11.31259742,-13.47923634,-16.40973807,-20.84535066,-22.31188874,-23.61606479,-21.58073836,-21.20079346,-20.89963706,-19.10499947,-19.8363968,-17.97828324
-154,-11.18194838,-13.27307254,-16.63213173,-21.38456802,-22.82501528,-23.92763423,-21.51993138,-21.18772829,-20.9191457,-19.08744086,-18.92822078,-17.14391381
-153,-11.08436629,-13.20468238,-17.0138822,-21.50099839,-22.53726843,-23.1366755,-21.23174718,-20.95161688,-20.71051483,-18.44233937,-17.71715211,-16.37083226
-152,-11.02854086,-13.27746848,-17.4954306,-21.01131054,-21.48857069,-21.66166896,-20.59764299,-20.35314678,-20.12569623,-17.38330274,-16.49297723,-15.7195785
-151,-11.0180477,-13.47821508,-17.9539904,-20.02328619,-20.10162908,-20.08655191,-19.64681584,-19.41770165,-19.19489495,-16.21458073,-15.41216961,-15.2266037
-150,-11.0506609,-13.77677193,-18.23266094,-18.87136853,-18.77847817,-18.73448967,-18.50890239,-18.28435588,-18.06657916,-15.14874116,-14.55324432,-14.92373089
-149,-11.11901295,-14.1275236,-18.22313618,-17.82920602,-17.70845312,-17.69704718,-17.30167813,-17.08260275,-16.87666469,-14.30761265,-13.96712542,-14.84295269
-148,-11.2120131,-14.47386927,-17.93660874,-17.01303344,-16.92408602,-16.945188,-16.1017523,-15.89647167,-15.7112575,-13.75670562,-13.69075843,-15.0103255
-147,-11.31643805,-14.75666201,-17.473682,-16.42636887,-16.37508798,-16.39076392,-14.96681058,-14.78516451,-14.62794168,-13.5234911,-13.74487095,-15.43433104
-146,-11.41832795,-14.92553635,-16.93731233,-16.01215358,-15.9713489,-15.92385909,-13.94871424,-13.79732956,-13.67133662,-13.60512145,-14.12879421,-16.08945138
-145,-11.50416088,-14.94928491,-16.38580068,-15.68859022,-15.61560971,-15.45223176,-13.08884931,-12.96890294,-12.87255681,-13.97132842,-14.81287187,-16.89125814
-144,-11.5620497,-14.82073879,-15.83708938,-15.37907581,-15.23700078,-14.93680944,-12.40994678,-12.31701078,-12.2442877,-14.56355911,-15.72281168,-17.66653703
-143,-11.58316764,-14.55430628,-15.28971942,-15.03625704,-14.81271391,-14.3965404,-11.91276658,-11.8377059,-11.77910798,-15.29002505,-16.70990268,-18.16003273
-142,-11.56320146,-14.17804973,-14.7381668,-14.64874061,-14.36078418,-13.87836442,-11.57777387,-11.5082358,-11.45223678,-16.01666754,-17.51921911,-18.15299107
-141,-11.5031612,-13.72402572,-14.17796181,-14.2269352,-13.91141278,-13.42088418,-11.37008172,-11.2927511,-11.22794519,-16.55994663,-17.83095605,-17.62696964
-140,-11.40884027,-13.22028875,-13.60481604,-13.78180596,-13.48131626,-13.03533481,-11.24695228,-11.15069857,-11.06858447,-16.70902865,-17.45882566,-16.74057339
-139,-11.28879931,-12.6865515,-13.01358592,-13.31287107,-13.06507061,-12.70498669,-11.16706341,-11.04629397,-10.94383669,-16.31824418,-16.51147618,-15.66489986
-138,-11.15153708,-12.13386126,-12.39999118,-12.81014673,-12.64165485,-12.39540042,-11.09882791,-10.95552151,-10.83617701,-15.41994323,-15.2572964,-14.50679349
-137,-11.002918,-11.56732074,-11.7641274,-12.26435438,-12.18831383,-12.06934591,-11.02371546,-10.86693243,-10.73952378,-14.20645644,-13.92023009,-13.32952116
-136,-10.84475446,-10.99010878,-11.11290333,-11.67635524,-11.6932282,-11.70079558,-10.93271294,-10.77593504,-10.65214314,-12.89621778,-12.62830646,-12.18354501
-135,-10.67493754,-10.40693621,-10.45945661,-11.05951481,-11.16044113,-11.28204885,-10.81878791,-10.67665844,-10.56850657,-11.64383456,-11.44334546,-11.11475237
-134,-10.4889716,-9.82565061,-9.819966704,-10.43494871,-10.60593493,-10.82138455,-10.67100308,-10.55679512,-10.47494777,-10.53154203,-10.39163197,-10.1590831
-133,-10.28232798,-9.256771163,-9.20982994,-9.824282297,-10.04944487,-10.33475056,-10.4744384,-10.39857871,-10.35143085,-9.591056621,-9.480760246,-9.337228316
-132,-10.05275895,-8.711707236,-8.640943972,-9.244374273,-9.507628531,-9.837749762,-10.21593196,-10.18530643,-10.17850621,-8.824099519,-8.70776973,-8.654206494
-131,-9.801730392,-8.200756627,-8.120699192,-8.705457682,-8.991121071,-9.341660258,-9.891597553,-9.909398382,-9.945625765,-8.215774795,-8.063310835,-8.102378131
-130,-9.534515203,-7.731682811,-7.652342297,-8.211840322,-8.504888697,-8.853384083,-9.510742111,-9.576806871,-9.65587997,-7.742795897,-7.533989359,-7.665333575
-129,-9.259081386,-7.309141435,-7.236052719,-7.76372379,-8.050165166,-8.377339286,-9.093605157,-9.205161511,-9.324526241,-7.378673349,-7.103636973,-7.321163189
-128,-8.984365725,-6.934832115,-6.870158745,-7.359082992,-7.626544021,-7.917422658,-8.664951711,-8.817524024,-8.972986284,-7.096849065,-6.753893533,-7.044922031
-127,-8.718610028,-6.608095686,-6.552139095,-6.99509218,-7.233475457,-7.478077527,-8.247650957,-8.435872343,-8.622338848,-6.872180544,-6.464668837,-6.811031093
-126,-8.468208114,-6.326685414,-6.279260865,-6.66897564,-6.870979658,-7.064360825,-7.858924816,-8.077140687,-8.289218543,-6.681357632,-6.215287532,-6.59655542
-125,-8.237195137,-6.087512895,-6.048853622,-6.378373042,-6.53972398,-6.681386594,-7.50950285,-7.75218499,-7.984612703,-6.503326746,-5.986940435,-6.385440556
-124,-8.027285063,-5.887247456,-5.858308828,-6.121388063,-6.24073937,-6.333614857,-7.204604426,-7.466634684,-7.714573784,-6.320825612,-5.766220796,-6.172242199
-123,-7.838270707,-5.722713146,-5.70493001,-5.896483035,-5.975032027,-6.024307411,-6.945586407,-7.222446496,-7.481659766,-6.12319425,-5.548366668,-5.963063668
-122,-7.668601676,-5.591078174,-5.585753195,-5.702334348,-5.743254286,-5.755268492,-6.731511891,-7.019384316,-7.286308543,-5.909151282,-5.338348149,-5.772540524
-121,-7.515994473,-5.48986865,-5.497425272,-5.537706786,-5.545499845,-5.526842472,-6.560309817,-6.856082039,-7.12779777,-5.687513472,-5.148860296,-5.618007645
-120,-7.377973459,-5.416860666,-5.436186402,-5.401361289,-5.381219642,-5.33807925,-6.429462726,-6.730634108,-7.004744515,-5.474816652,-4.995999006,-5.513327844
-119,-7.252280811,-5.369911797,-5.397963799,-5.291987484,-5.24922358,-5.186976829,-6.336297846,-6.640806148,-6.915252163,-5.290703668,-4.89443988,-5.464391657
-118,-7.137127829,-5.34678707,-5.378554529,-5.208147036,-5.147730055,-5.070736441,-6.278009456,-6.584009048,-6.856858437,-5.153038662,-4.853659463,-5.467068063
-117,-7.031289729,-5.34502021,-5.373856461,-5.148219253,-5.074435831,-4.985995228,-6.251542153,-6.557173172,-6.826422933,-5.07430242,-4.875793931,-5.507610893
-116,-6.934069902,-5.361833838,-5.38009924,-5.110348882,-5.026592386,-4.929024216,-6.253439351,-6.556625122,-6.820050614,-5.059738833,-4.95502787,-5.565365852
-115,-6.845174533,-5.394126747,-5.394030588,-5.092402901,-5.001085432,-4.895892756,-6.279726555,-6.578028993,-6.833103229,-5.106958922,-5.078241901,-5.617483397
-114,-6.764542935,-5.438524217,-5.413025771,-5.091945999,-4.994519963,-4.882606066,-6.325866658,-6.616419587,-6.860315063,-5.206544757,-5.226792447,-5.644695981
-113,-6.692173882,-5.491479222,-5.435106655,-5.106243615,-5.00331428,-4.885222577,-6.3868002,-6.666330651,-6.896005148,-5.343381267,-5.379384118,-5.636284158
-112,-6.627977158,-5.549407475,-5.458876544,-5.132297769,-5.023804315,-4.899954995,-6.457067671,-6.722005485,-6.934362381,-5.498654072,-5.515770929,-5.592154304
-111,-6.571666676,-5.608836991,-5.483392871,-5.166916014,-5.052355793,-4.923255512,-6.531001167,-6.777667,-6.969769712,-5.652475645,-5.620509251,-5.521214017
-110,-6.522700051,-5.666552858,-5.508008283,-5.206808666,-5.085477929,-4.951882802,-6.602965922,-6.827816856,-6.997127277,-5.786876312,-5.685574538,-5.437181735
-109,-6.480261402,-5.719719993,-5.532210853,-5.248705006,-5.119929493,-4.982947384,-6.667626755,-6.867528441,-7.012132878,-5.888543109,-5.710866859,-5.35398277
-108,-6.44327947,-5.76597083,-5.555487895,-5.289476024,-5.152807218,-5.01393266,-6.72021016,-6.89269724,-7.011483374,-5.950507171,-5.702535202,-5.282394953
-107,-6.41047134,-5.803450618,-5.577228302,-5.326249971,-5.181607816,-5.042691165,-6.756731037,-6.900216741,-6.992972837,-5.972238818,-5.670027431,-5.228460556
-106,-6.380402169,-5.830819458,-5.596668631,-5.356507901,-5.204258236,-5.067418558,-6.774155953,-6.888058951,-6.9554811,-5.958241694,-5.6231154,-5.193353011
-105,-6.351552428,-5.847216195,-5.612880333,-5.378149361,-5.219113295,-5.086610655,-6.770483177,-6.855254364,-6.898865062,-5.915824915,-5.569772506,-5.174137865
-104,-6.322385713,-5.852193728,-5.624790481,-5.389523018,-5.224924516,-5.099010726,-6.744732636,-6.801782884,-6.823779868,-5.852895822,-5.515156821,-5.164963197
-103,-6.29141182,-5.845637492,-5.631225907,-5.389422346,-5.220787712,-5.103554838,-6.696853482,-6.728400471,-6.73146424,-5.776354518,-5.461509786,-5.158384665
-102,-6.25724127,-5.82767877,-5.630970388,-5.377051409,-5.206078867,-5.099322323,-6.627569269,-6.636432759,-6.623523112,-5.691266564,-5.408627537,-5.146646459
-101,-6.218628897,-5.798612612,-5.622825515,-5.351969305,-5.180388035,-5.085496704,-6.538187783,-6.527566081,-6.501733342,-5.600694711,-5.354595981,-5.122789447
-100,-6.174505315,-5.758827194,-5.605667762,-5.314023422,-5.143459473,-5.061340177,-6.430403237,-6.403659816,-6.367888052,-5.505955775,-5.296574737,-5.081478459
-99,-6.123996206,-5.708748328,-5.578496438,-5.263281305,-5.095143751,-5.026182466,-6.306113841,-6.266594796,-6.223685236,-5.407080717,-5.231500252,-5.01947097
-98,-6.066430191,-5.648800086,-5.540469394,-5.199969041,-5.035364735,-4.979422863,-6.167270046,-6.118163407,-6.070658666,-5.303318073,-5.156637866,-4.935706162
-97,-6.001336796,-5.57938047,-5.490925351,-5.12442138,-4.96410179,-4.920542851,-6.015760575,-5.959999987,-5.91014457,-5.193585118,-5.069952311,-4.831064891
-96,-5.928436394,-5.500849854,-5.429393321,-5.037045966,-4.88138551,-4.849125858,-5.853336484,-5.793545665,-5.743275596,-5.076819955,-4.970295393,-4.707909568
-95,-5.847624215,-5.413529361,-5.355590775,-4.93830162,-4.787304023,-4.764880447,-5.681568927,-5.620039871,-5.570993579,-4.952220252,-4.857432502,-4.569535467
-94,-5.758950484,-5.317706304,-5.269412885,-4.828688784,-4.682016327,-4.667663441,-5.501833908,-5.440530554,-5.394073769,-4.819374496,-4.731945881,-4.419648049
-93,-5.662598481,-5.213644123,-5.170915411,-4.708749219,-4.56576906,-4.557500073,-5.315316731,-5.255896114,-5.213154659,-4.67830326,-4.595060203,-4.261939488
-92,-5.558862018,-5.101594626,-5.060293695,-4.579071573,-4.438913492,-4.434598993,-5.123029406,-5.066873393,-5.028769198,-4.529433363,-4.448434457,-4.099791975
-91,-5.448123335,-4.981810835,-4.937859849,-4.440299536,-4.301920081,-4.299360827,-4.925835447,-4.874087581,-4.841374499,-4.373528565,-4.293955419,-3.936100651
-90,-5.330832054,-4.854559114,-4.804019754,-4.293139628,-4.155388645,-4.152379745,-4.724477762,-4.67808118,-4.65137831,-4.211597783,-4.133555696,-3.773190016
-89,-5.207485392,-4.720129579,-4.65925098,-4.138366247,-4.00005281,-3.994438147,-4.519606624,-4.479340219,-4.459161281,-4.044797133,-3.969067146,-3.612792389
-88,-5.07860953,-4.57884407,-4.504082309,-3.976822131,-3.836778021,-3.826495031,-4.3118057,-4.278316726,-4.265094675,-3.874336791,-3.802110907,-3.456060297
-87,-4.944741795,-4.431061061,-4.339075245,-3.809412967,-3.666552765,-3.649668818,-4.101614945,-4.075447001,-4.069553519,-3.701398755,-3.634019335,-3.303591889
-86,-4.806413185,-4.277177022,-4.164807659,-3.637095348,-3.490473015,-3.465215422,-3.889549692,-3.871165601,-3.872925418,-3.527067836,-3.465782666,-3.155456515
