,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-19.16519998,-18.84678292,-18.30314793,-16.36802065,-15.88489226,-15.4350987,-14.79608943,-14.91678948,-15.01400817,-14.19429466,-14.41440077,-15.63209739
-179,-18.77755397,-18.96123762,-18.7917903,-16.71680173,-16.1763948,-15.70624054,-15.09456842,-15.21369134,-15.31035964,-14.06388767,-14.05347395,-15.01807701
-178,-18.25074007,-18.91145519,-19.14109659,-17.16659944,-16.63681653,-16.20032429,-15.46828607,-15.55936061,-15.63388679,-14.07785077,-13.93232988,-14.7244981
-177,-17.66620856,-18.70768825,-19.28547543,-17.68609821,-17.22760867,-16.85993486,-15.78069037,-15.82743263,-15.86807311,-14.38986137,-14.1612467,-14.76660753
-176,-17.04910894,-18.33631876,-19.16461852,-18.172739,-17.83906148,-17.55991801,-15.97729227,-15.98307334,-15.9946692,-15.00615642,-14.63938844,-14.93860891
-175,-16.40794786,-17.80810081,-18.81536975,-18.5380505,-18.36258872,-18.17262518,-16.10148013,-16.08285213,-16.08016586,-15.59702697,-14.99964383,-14.91523415
-174,-15.76343811,-17.19086333,-18.3740655,-18.76434035,-18.73632123,-18.6074161,-16.22439531,-16.19868471,-16.19607264,-15.66355513,-14.90823199,-14.59102602
-173,-15.14895558,-16.5803086,-17.96998669,-18.83991051,-18.89235544,-18.77008699,-16.38229068,-16.36242843,-16.36972414,-15.18752242,-14.49607718,-14.2000303
-172,-14.59361341,-16.04618245,-17.64007567,-18.67054541,-18.70861319,-18.55245212,-16.57555966,-16.57010336,-16.59254922,-14.63222296,-14.13430831,-14.00203997
-171,-14.10747982,-15.60426364,-17.32734636,-18.1579899,-18.13656598,-17.97296414,-16.79562072,-16.80715461,-16.84443657,-14.31676021,-14.01851764,-14.07254097
-170,-13.67929546,-15.2235241,-16.94949939,-17.38669564,-17.35059213,-17.25596416,-17.02726666,-17.04883186,-17.0930984,-14.28066298,-14.13698785,-14.32344816
-169,-13.28659939,-14.85795067,-16.49120472,-16.60869823,-16.63678559,-16.67434814,-17.21941914,-17.23574633,-17.27360301,-14.43257897,-14.3734237,-14.57383376
-168,-12.91219123,-14.48588437,-16.03423247,-16.05361957,-16.1982694,-16.38650457,-17.27911224,-17.27926131,-17.30229706,-14.63671329,-14.55516287,-14.62792551
-167,-12.55719703,-14.13052224,-15.69893113,-15.82437818,-16.08964603,-16.39274602,-17.14544981,-17.13904855,-17.15562308,-14.71963781,-14.50150642,-14.40742586
-166,-12.2424509,-13.84644764,-15.5711395,-15.88979557,-16.22086218,-16.54063439,-16.88403733,-16.89865826,-16.93022078,-14.5450372,-14.18117567,-14.05072968
-165,-11.99837308,-13.68742866,-15.66631913,-16.09774231,-16.38263558,-16.58560008,-16.66531778,-16.72537003,-16.78986482,-14.18112139,-13.80174508,-13.80882321
-164,-11.85114594,-13.67987301,-15.92257886,-16.23000786,-16.35856117,-16.37679909,-16.65076272,-16.76152128,-16.86114675,-13.88393379,-13.63847169,-13.85779071
-163,-11.81248033,-13.81079298,-16.21637766,-16.15277371,-16.11630473,-16.01663307,-16.910698,-17.05291521,-17.16936629,-13.88765145,-13.8443732,-14.21709202
-162,-11.87527665,-14.02889653,-16.4191262,-15.94343403,-15.84127071,-15.75513894,-17.394713,-17.5240308,-17.61866958,-14.284417,-14.40817455,-14.77409555
