,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-19.66764604,-19.16863018,-18.10386327,-16.63927911,-16.2240572,-15.83605105,-15.77496906,-15.82669175,-15.86568584,-14.12843331,-14.33781278,-15.66617028
-179,-19.83262675,-18.99494043,-17.60259267,-16.48371149,-16.20973346,-15.9299106,-15.64822238,-15.68088173,-15.7061594,-14.37648581,-14.75263283,-16.25613589
-178,-19.61243091,-18.58925717,-17.0910206,-16.30475227,-16.20825162,-16.10479184,-15.79424047,-15.79858904,-15.80273195,-14.79078864,-15.21861946,-16.67053188
-177,-19.02458715,-17.98973159,-16.60110693,-16.05445071,-16.10737532,-16.19008985,-16.17221395,-16.15030297,-16.13572165,-15.39752984,-15.67715716,-16.66759801
-176,-18.21695174,-17.30642257,-16.19859492,-15.80689717,-15.93178659,-16.13051217,-16.63331373,-16.59745305,-16.57488522,-16.06135542,-16.01980797,-16.24795774
-175,-17.35558678,-16.65368478,-15.94111552,-15.69996105,-15.82460972,-16.04151349,-16.98220645,-16.94952881,-16.9328558,-16.421051,-16.07558262,-15.64208223
-174,-16.54610834,-16.10434357,-15.84742017,-15.84234459,-15.93314048,-16.10032563,-17.10997579,-17.09061943,-17.08696569,-16.15126606,-15.70933082,-15.02632627
-173,-15.82965422,-15.68754826,-15.89418125,-16.26487777,-16.32829522,-16.42138115,-17.07079558,-17.06131669,-17.06608946,-15.3980986,-14.99091833,-14.42845902
-172,-15.20836527,-15.40651548,-16.03542475,-16.90892431,-16.98128883,-17.01043008,-16.9955426,-16.98493983,-16.98736642,-14.61199144,-14.19848787,-13.86072366
-171,-14.66912882,-15.25570515,-16.23341244,-17.63577302,-17.76542785,-17.76421516,-16.97630282,-16.9546826,-16.945275,-14.11551263,-13.6238458,-13.42570748
-170,-14.197779,-15.22900999,-16.48052413,-18.27331786,-18.48815524,-18.49761407,-17.04423696,-17.00747337,-16.98203859,-14.01075235,-13.43382871,-13.26728531
-169,-13.78439738,-15.31751394,-16.79105242,-18.69574224,-18.97109766,-19.0143703,-17.20353265,-17.15521002,-17.11660674,-14.23827028,-13.65034332,-13.47018294
-168,-13.42281976,-15.49979899,-17.16419737,-18.85616645,-19.12027872,-19.18560635,-17.45038089,-17.40260735,-17.36146939,-14.63161802,-14.16570851,-14.00861034
-167,-13.10819767,-15.73118694,-17.54379124,-18.74066081,-18.9164366,-18.9670667,-17.75065109,-17.72386494,-17.69840818,-15.00008789,-14.77495441,-14.73786257
-166,-12.83552623,-15.9414426,-17.81133827,-18.35465345,-18.40031104,-18.40045931,-18.00806064,-18.02719278,-18.04006835,-15.24872404,-15.27007602,-15.42550785
-165,-12.59995718,-16.05134044,-17.84660417,-17.77976375,-17.70241102,-17.63756639,-18.09620438,-18.178697,-18.24664153,-15.42235361,-15.5731221,-15.85901731
-164,-12.39788426,-16.00731879,-17.62633596,-17.17983063,-17.01950848,-16.89913046,-17.98231947,-18.12517249,-18.24654496,-15.62777624,-15.76610521,-15.9933178
-163,-12.22727173,-15.80931995,-17.24538036,-16.72247955,-16.53120451,-16.38129609,-17.80614698,-17.99050242,-18.14798647,-15.95146341,-15.99324989,-15.97078397
-162,-12.08654297,-15.50414752,-16.83334684,-16.51308649,-16.3477253,-16.20668025,-17.79549779,-18.00235194,-18.17721628,-16.42118549,-16.35637753,-15.97451533
-161,-11.97269993,-15.15298218,-16.47783144,-16.58044299,-16.5057085,-16.42672862,-18.14324235,-18.3588807,-18.53626203,-16.95804789,-16.83382847,-16.07614316
-160,-11.88012633,-14.80484916,-16.21244074,-16.88732758,-16.97768463,-17.03361255,-18.95556184,-19.16306075,-19.32360216,-17.33562448,-17.21927421,-16.18221845
-159,-11.80122275,-14.49015636,-16.04193454,-17.35055609,-17.67942531,-17.96023077,-20.21637793,-20.37404576,-20.47406808,-17.31146535,-17.22352589,-16.12041365
-158,-11.72887076,-14.22685788,-15.97028105,-17.87823839,-18.48778644,-19.07346794,-21.66204381,-21.67284567,-21.62522001,-16.91687457,-16.80697802,-15.83944719
-157,-11.65943617,-14.02803095,-16.01511109,-18.42196057,-19.28928104,-20.18982137,-22.60557024,-22.36039653,-22.09769009,-16.43267967,-16.24699455,-15.47688
-156,-11.59447295,-13.90511288,-16.20552713,-19.00332882,-20.03642299,-21.13708695,-22.39183141,-21.95625738,-21.56569915,-16.07571243,-15.80135505,-15.19332864
-155,-11.54000108,-13.86651554,-16.56914719,-19.67385482,-20.73159908,-21.79763564,-21.32421674,-20.87432492,-20.49399793,-15.86485728,-15.52044081,-15.03128784
-154,-11.50374203,-13.91402203,-17.11544755,-20.42045091,-21.31004706,-22.04218138,-20.0624311,-19.68804874,-19.37854832,-15.69062414,-15.30513425,-14.92531685
-153,-11.49182109,-14.03953093,-17.81716057,-21.06172512,-21.5369574,-21.70020808,-18.89438073,-18.61248634,-18.38255396,-15.45388696,-15.04858334,-14.79410882
-152,-11.50645779,-14.22376807,-18.58818754,-21.24914842,-21.14779999,-20.76661892,-17.86587589,-17.66646903,-17.50578747,-15.16377361,-14.74580409,-14.61875528
-151,-11.54536818,-14.43769422,-19.26641561,-20.75909185,-20.19319098,-19.51682809,-16.97757922,-16.84095118,-16.73162415,-14.91139256,-14.48281312,-14.44381726
-150,-11.60270548,-14.64661815,-19.63937555,-19.77377566,-19.01023704,-18.27356708,-16.24262598,-16.14541826,-16.06642167,-14.77722377,-14.35032912,-14.33016942
-149,-11.67079336,-14.81607158,-19.55205007,-18.64157734,-17.88460009,-17.2188224,-15.67354863,-15.59123623,-15.52066347,-14.769825,-14.38450967,-14.32310835
-148,-11.74175493,-14.91748664,-19.01725031,-17.57497458,-16.9313276,-16.40007882,-15.2577296,-15.1652929,-15.08136232,-14.80854708,-14.55051937,-14.44216375
-147,-11.80838903,-14.93167716,-18.18292956,-16.63369582,-16.15212979,-15.78816504,-14.94605866,-14.81929588,-14.70213662,-14.74891511,-14.74626533,-14.66897048
-146,-11.86417499,-14.84958885,-17.21234141,-15.80545681,-15.50259526,-15.32058302,-14.66107442,-14.48120297,-14.31728801,-14.47982342,-14.83966406,-14.93434553
-145,-11.90282357,-14.67143052,-16.22027301,-15.06465833,-14.93506954,-14.93186421,-14.32517251,-14.08596395,-13.87360508,-14.04081917,-14.75859438,-15.13517751
-144,-11.91802323,-14.40537775,-15.27355641,-14.39887562,-14.42175233,-14.57637597,-13.89663207,-13.608078,-13.35874937,-13.61022908,-14.56105644,-15.19642191
-143,-11.90382784,-14.06587398,-14.40776894,-13.81240161,-13.95985306,-14.23899457,-13.38579602,-13.06945403,-12.80251997,-13.3793053,-14.38545988,-15.12038625
-142,-11.8556413,-13.67098528,-13.63904805,-13.31756113,-13.56241909,-13.92914599,-12.83759287,-12.51741602,-12.25267877,-13.46251766,-14.33625412,-14.95291576
-141,-11.7713001,-13.23897504,-12.97022534,-12.92387419,-13.24388861,-13.66404106,-12.30032052,-11.99613256,-11.74935075,-13.87347062,-14.41513189,-14.71308679
-140,-11.65163255,-12.78515463,-12.3942842,-12.63079232,-13.00880227,-13.45270097,-11.80636754,-11.53205619,-11.3140548,-14.51610288,-14.52144317,-14.38180562
-139,-11.50015773,-12.32008557,-11.89703145,-12.42496039,-12.84669953,-13.28785329,-11.37015287,-11.13448446,-10.95194449,-15.17870031,-14.51523615,-13.95327142
-138,-11.32206401,-11.84950241,-11.45974655,-12.28092362,-12.73242517,-13.14627365,-10.9950574,-10.8030082,-10.65946402,-15.58003893,-14.31185332,-13.46949389
-137,-11.12294266,-11.37559564,-11.06201362,-12.16439177,-12.63048106,-12.99537912,-10.68101086,-10.53481863,-10.43142237,-15.49678826,-13.91092104,-12.98779618
-136,-10.90777096,-10.89892973,-10.68462013,-12.03770232,-12.50238793,-12.80309679,-10.42854523,-10.32846364,-10.26458427,-14.85597503,-13.32777576,-12.52388934
