,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-95,-6.683332238,-11.81220804,-15.25474341,-16.50441549,-16.44123629,-16.25272516,-14.11813963,-13.40682538,-12.82980246,-7.271580707,-6.320260712,-5.56132872
-94,-6.639234691,-11.73842983,-15.12173961,-16.47453644,-16.47358367,-16.35009908,-13.94620648,-13.20677694,-12.61624152,-6.869691022,-6.049098302,-5.38025262
-93,-6.590468119,-11.65655003,-14.9780787,-16.40791224,-16.46036161,-16.39541225,-13.69850602,-12.93984471,-12.34179362,-6.488537461,-5.790503863,-5.198433302
-92,-6.537950396,-11.56782993,-14.82376849,-16.30090808,-16.39597016,-16.38078482,-13.3859359,-12.61612271,-12.01564841,-6.126498153,-5.542484162,-5.013235742
-91,-6.482693832,-11.47357737,-14.65942965,-16.1521256,-16.27754745,-16.30138517,-13.02079383,-12.24648202,-11.64750779,-5.782386294,-5.303920079,-4.82334607
-90,-6.425803591,-11.37516947,-14.48629353,-15.96239332,-16.10513793,-16.15589339,-12.61535318,-11.84153537,-11.24678242,-5.455720425,-5.074722,-4.628890464
-89,-6.368478864,-11.27406769,-14.30617089,-15.73455535,-15.88153134,-15.94651207,-12.18095191,-11.41102279,-10.82213339,-5.146897993,-4.855924689,-4.431478147
-88,-6.31201494,-11.17182295,-14.1213994,-15.47310339,-15.61181151,-15.67851685,-11.72757177,-10.96356347,-10.38130195,-4.857297308,-4.649729198,-4.234171625
-87,-6.257804226,-11.07006806,-13.93477707,-15.18372528,-15.30272455,-15.35947361,-11.26377696,-10.50666221,-9.931135244,-4.589327344,-4.459500276,-4.041395016
-86,-6.207334038,-10.97049468,-13.74948667,-14.87284753,-14.96200139,-14.99832329,-10.79686346,-10.04685862,-9.477720314,-4.346441107,-4.289728532,-3.858796525
-85,-6.162178734,-10.87481122,-13.56901393,-14.54723141,-14.59774909,-14.60452616,-10.33309953,-9.589933453,-9.026560282,-4.133125479,-4.145966198,-3.693081801
-84,-6.123983398,-10.78467675,-13.39705837,-14.21365547,-14.21797812,-14.18738967,-9.877979569,-9.141117701,-8.582750571,-3.954877595,-4.034742545,-3.551830143
-83,-6.094435672,-10.70160479,-13.23743207,-13.87869028,-13.8302828,-13.75562163,-9.436448669,-8.705274793,-8.151132257,-3.818173842,-3.96345864,-3.44329509
-82,-6.075221621,-10.62682878,-13.09393652,-13.54855232,-13.44165671,-13.31708814,-9.013078922,-8.287043239,-7.736412509,-3.730431079,-3.940249259,-3.376174143
-81,-6.06796044,-10.5611198,-12.97020144,-13.22901323,-13.05840653,-12.878724,-8.612192142,-7.890936206,-7.343249358,-3.69994837,-3.973778768,-3.359306998
-80,-6.074111563,-10.50454597,-12.86946189,-12.92533726,-12.6861242,-12.44653735,-8.237929648,-7.521398825,-6.976301329,-3.735796659,-4.072900448,-3.401222399
-79,-6.094846235,-10.4561651,-12.79423965,-12.64221984,-12.32968161,-12.02565878,-7.894271403,-7.182824725,-6.640242934,-3.847583799,-4.246041549,-3.509390938
-78,-6.130874282,-10.41364938,-12.74588273,-12.38370182,-11.9932193,-11.62039824,-7.585005584,-6.879531936,-6.339745685,-4.044943844,-4.500055976,-3.688942282
-77,-6.182216257,-10.37285862,-12.7239065,-12.15303494,-11.6801072,-11.23428561,-7.31364713,-6.615695519,-6.079421523,-4.336444347,-4.838080673,-3.940464919
-76,-6.247912799,-10.32741294,-12.72507902,-11.95247431,-11.39286125,-10.87008057,-7.083300604,-6.395230473,-5.86372163,-4.727306708,-5.255627975,-4.256369907
-75,-6.325669579,-10.26837205,-12.74222616,-11.78297456,-11.13300384,-10.52974402,-6.89645974,-6.221613989,-5.696778437,-5.214807783,-5.733889406,-4.61539476
-74,-6.411451762,-10.18420209,-12.762842,-11.64377029,-10.90086107,-10.21436833,-6.754734344,-6.097631385,-5.582172373,-5.779532055,-6.229768369,-4.975834056
-73,-6.499072207,-10.06127316,-12.7678424,-11.53183619,-10.69529778,-9.924068255,-6.658496939,-6.025026251,-5.522597893,-6.370710871,-6.665688127,-5.271257647
-72,-6.579867227,-9.885116669,-12.73122846,-11.44125765,-10.51340578,-9.657840016,-6.606449945,-6.00403503,-5.519397296,-6.888599438,-6.931432393,-5.417780209
-71,-6.642619928,-9.642491555,-12.62187877,-11.3626146,-10.35018646,-9.413404346,-6.595134531,-6.032794694,-5.571929951,-7.183433102,-6.91800217,-5.342098984
-70,-6.67395095,-9.323934581,-12.40859657,-11.28259885,-10.19830832,-9.187061634,-6.618440174,-6.106638447,-5.676758176,-7.108820103,-6.580275723,-5.021050577
-69,-6.659394554,-8.926048258,-12.06808529,-11.18422964,-10.04806892,-8.97360299,-6.667231608,-6.217351123,-5.826676207,-6.6230737,-5.97225687,-4.498705075
-68,-6.585236124,-8.452637308,-11.59285976,-11.04811492,-9.887732179,-8.766337644,-6.729275756,-6.352553844,-6.009710331,-5.828858884,-5.211685745,-3.862064363
-67,-6.440867036,-7.914180992,-10.99459046,-10.85504869,-9.70440274,-8.557306701,-6.78968632,-6.495516561,-6.208396161,-4.894936372,-4.416462577,-3.200316562
-66,-6.221020811,-7.325856876,-10.30061785,-10.58967564,-9.485488255,-8.337743418,-6.832037339,-6.62579376,-6.399865319,-3.963788609,-3.669305029,-2.578966148
-65,-5.927066537,-6.704909649,-9.545884368,-10.24412505,-9.220562697,-8.098796987,-6.840064658,-6.721002706,-6.557397841,-3.121099477,-3.014138353,-2.033545808
-64,-5.566800294,-6.068231664,-8.764785474,-9.820027872,-8.903156472,-7.832456333,-6.799515394,-6.759662402,-6.653816059,-2.404879103,-2.464179744,-1.572923485
-63,-5.152811478,-5.43067896,-7.985943093,-9.327843884,-8.53185132,-7.532512591,-6.699448845,-6.724338972,-6.666178062,-1.820274426,-2.009551892,-1.184688922
-62,-4.70008732,-4.80422197,-7.230243588,-8.783778942,-8.110229739,-7.195331693,-6.532455085,-6.603864869,-6.580041848,-1.348537541,-1.622176158,-0.840966189
-61,-4.223681867,-4.197762886,-6.511032405,-8.205719507,-7.645687927,-6.820225223,-6.293914004,-6.393734867,-6.391253813,-0.951178067,-1.260357738,-0.506126942
-60,-3.737018745,-3.617375385,-5.83527174,-7.60973544,-7.147590691,-6.409323435,-5.981163601,-6.094932825,-6.104566561,-0.574432144,-0.876835977,-0.147566639
-59,-3.251000039,-3.066759819,-5.204927717,-7.008008262,-6.625436151,-5.967019144,-5.59363702,-5.712474999,-5.730463146,-0.160100513,-0.432282404,0.252597287
-58,-2.773804498,-2.547776224,-4.618286507,-6.408257557,-6.087550486,-5.499177018,-5.134339725,-5.254875788,-5.282405182,0.335011626,0.089446044,0.690480401
-57,-2.311145054,-2.060974421,-4.071142213,-5.814297407,-5.540513424,-5.012327339,-4.611845273,-4.734600477,-4.775681356,0.919102566,0.673366351,1.142412826
-56,-1.866763479,-1.606072814,-3.557880382,-5.227238494,-4.989218899,-4.512990779,-4.041217152,-4.168415727,-4.227331138,1.559861042,1.278838741,1.574355351
-55,-1.442993464,-1.182350013,-3.072462896,-4.646878831,-4.437299125,-4.007168182,-3.442661344,-3.576390147,-3.655762245,2.198685273,1.854460671,1.952904249
-54,-1.041276817,-0.788916183,-2.609258728,-4.072887686,-3.887591886,-3.499940113,-2.838022375,-2.979178271,-3.079097671,2.773223239,2.353183375,2.253489922
-53,-0.662556852,-0.424833913,-2.163610192,-3.505480169,-3.342386168,-2.995092243,-2.246359135,-2.394290715,-2.512331916,3.234723205,2.742468315,2.465315283
-52,-0.307501107,-0.089068637,-1.732018625,-2.945435714,-2.803312187,-2.494718639,-1.680031645,-1.832526293,-1.964184049,3.556835968,3.010139366,2.594690638
-51,0.023470551,0.219730847,-1.31189818,-2.39352563,-2.27091314,-1.998838162,-1.142270164,-1.295614153,-1.434797448,3.739532884,3.168299024,2.667596407
-50,0.330351623,0.503590629,-0.900967831,-1.849624083,-1.744102236,-1.505160254,-0.626772114,-0.775863154,-0.915383213,3.811186449,3.255242314,2.729268356
-49,0.613879691,0.765639679,-0.496485261,-1.311911861,-1.219823101,-1.009216896,-0.119726097,-0.258452021,-0.390696549,3.82699158,3.330763066,2.835328063
-48,0.875971109,1.010496874,-0.094620099,-0.776599075,-0.693251606,-0.505084425,0.395597253,0.273456806,0.155455888,3.856934266,3.458072209,3.030897997
-47,1.120160701,1.244468196,0.309721712,-0.238473145,-0.158760924,0.013208593,0.932480175,0.831843754,0.733050339,3.958908882,3.674236933,3.326413953
-46,1.351904546,1.475386725,0.722402,0.307686769,0.388404862,0.549776806,1.494862513,1.41792144,1.340176314,4.149038928,3.969265807,3.690488308
-45,1.578565904,1.711959277,1.148871765,0.865167555,0.950185154,1.105018359,2.074793237,2.020308404,1.96207513,4.395273736,4.295035981,4.06903962
-44,1.80890047,1.962599504,1.592595306,1.433544122,1.524218043,1.674531785,2.654651396,2.618371449,2.575515293,4.642698416,4.597324147,4.415495223
-43,2.051935957,2.233933762,2.053629062,2.007843167,2.103510063,2.249352411,3.212865577,3.188822405,3.156015247,4.848419371,4.845054481,4.711516542
