,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-16.10921343,-16.56111547,-16.92342479,-17.68882593,-17.90841018,-18.03763556,-17.90645747,-17.83886455,-17.74519316,-18.15804312,-17.56793848,-16.54022588
-179,-15.98261835,-16.19958244,-16.43723347,-17.24494488,-17.52478887,-17.74866929,-17.59010974,-17.52254548,-17.43372912,-17.54645182,-17.22103131,-16.72553374
-178,-15.93122524,-15.95071627,-16.07354066,-16.80235646,-17.08944068,-17.35491038,-17.44427526,-17.35855879,-17.26048615,-17.52065868,-16.82965148,-16.33897185
-177,-15.91269162,-15.8086856,-15.86195429,-16.48408368,-16.73725058,-16.97586753,-17.45992504,-17.35873962,-17.25088175,-18.63134372,-17.33227472,-16.17741358
-176,-15.87137399,-15.74244133,-15.77876409,-16.35787814,-16.57682301,-16.76440319,-17.54869461,-17.45167376,-17.3459017,-19.98884499,-18.77000714,-17.00177496
-175,-15.77364545,-15.71087875,-15.77167684,-16.40522283,-16.62359792,-16.7889949,-17.63073875,-17.55559759,-17.46407597,-19.29154179,-19.43098399,-18.45869458
-174,-15.63409342,-15.68266039,-15.79743129,-16.5466158,-16.80552526,-17.00566689,-17.72247455,-17.66723275,-17.58951982,-17.63357434,-18.1283034,-18.54442471
-173,-15.50879761,-15.65177749,-15.84903448,-16.70353924,-17.01943219,-17.29568831,-17.9301557,-17.87615095,-17.79959378,-16.95229688,-16.96960607,-17.18683448
-172,-15.46163535,-15.63954765,-15.95250475,-16.86251593,-17.21554186,-17.55778903,-18.36028632,-18.28953485,-18.20070516,-17.28730518,-16.93592819,-16.469532
-171,-15.52918387,-15.68226614,-16.13994749,-17.08287563,-17.44146474,-17.80169872,-19.04103556,-18.94982076,-18.84411042,-17.59162897,-17.45434533,-16.83812764
-170,-15.69771913,-15.81261059,-16.4257353,-17.44114558,-17.79593162,-18.13966459,-19.90005674,-19.80159908,-19.684992,-17.01559941,-17.28345947,-17.35508885
-169,-15.89387382,-16.04246901,-16.80322398,-17.97065028,-18.34572333,-18.68522229,-20.81630424,-20.72869589,-20.6096901,-16.39126843,-16.51987666,-16.91040155
-168,-15.99949867,-16.34980502,-17.25982634,-18.6411924,-19.07732319,-19.46452623,-21.74579809,-21.66956285,-21.54442919,-16.58670564,-16.30249305,-16.24006631
-167,-15.90841885,-16.67264773,-17.79423542,-19.39052314,-19.90852033,-20.39035153,-22.79735088,-22.70861741,-22.55671858,-17.42518552,-16.92043796,-16.35333654
-166,-15.60124078,-16.92122222,-18.41577618,-20.19783851,-20.77044137,-21.32605926,-24.10543677,-23.97674725,-23.77513467,-17.70049361,-17.49328791,-17.04051775
-165,-15.16101264,-17.01996022,-19.11807336,-21.14307664,-21.7191285,-22.25189668,-25.50383599,-25.33552462,-25.0856253,-16.85701026,-16.92976234,-17.02034804
-164,-14.71209508,-16.96080446,-19.84212965,-22.38634123,-22.96416917,-23.38750154,-26.21399873,-26.04142515,-25.78864005,-15.98447762,-15.90853376,-15.97737429
-163,-14.3559734,-16.81573623,-20.46877084,-24.06913991,-24.78905388,-25.13721953,-25.67147646,-25.47926616,-25.24027769,-15.64472426,-15.30454771,-15.04478154
-162,-14.14919759,-16.69359925,-20.8890605,-26.10495507,-27.38064719,-27.99235238,-24.61853608,-24.33324768,-24.05378781,-15.49588694,-14.95500994,-14.55342454
-161,-14.10930409,-16.68785017,-21.1188809,-27.71606962,-30.01553923,-31.9302809,-23.83227622,-23.40850436,-23.04625413,-15.11381198,-14.35391899,-13.97833816
-160,-14.22702768,-16.85094629,-21.30959953,-27.70955593,-29.83640339,-32.02155422,-23.40028512,-22.84424237,-22.39901147,-14.74647286,-13.61318315,-13.02450963
-159,-14.47662162,-17.19066205,-21.62714405,-26.54856664,-27.44811107,-28.08418488,-22.94186191,-22.33784894,-21.8631465,-14.94926569,-13.30054004,-12.1575691
-158,-14.8240633,-17.67399893,-22.12895741,-25.35608885,-25.37148118,-25.15877982,-22.00850866,-21.49014792,-21.07396942,-15.9352255,-13.72958323,-11.85536315
-157,-15.23433194,-18.23485236,-22.68563109,-24.37397558,-23.9007598,-23.29150821,-20.62102662,-20.24321455,-19.92895407,-17.19955247,-14.72566972,-12.1686629
-156,-15.67755234,-18.79058366,-22.96973513,-23.35653039,-22.69871994,-21.97301928,-19.17300016,-18.89459428,-18.65917486,-17.45868556,-15.53025376,-12.75192901
-155,-16.1322472,-19.26932893,-22.67740906,-22.08447067,-21.45226545,-20.7995808,-17.94655595,-17.71338786,-17.51844351,-16.59944121,-15.46879537,-13.1096507
-154,-16.58416231,-19.6329647,-21.87284883,-20.62516911,-20.08599326,-19.56851827,-17.00038913,-16.78254608,-16.60454962,-15.84046799,-15.00861666,-13.15520494
-153,-17.02145331,-19.87317913,-20.88116319,-19.20539973,-18.72995716,-18.30662231,-16.26267096,-16.05385105,-15.8861144,-15.65075726,-14.79448172,-13.22269384
-152,-17.42956287,-19.9834417,-19.94096103,-17.98997459,-17.53643823,-17.14587106,-15.62274544,-15.43036499,-15.27649497,-15.7095153,-14.80330333,-13.43990764
-151,-17.78967681,-19.93924956,-19.11582114,-17.02701799,-16.57758793,-16.18639923,-15.00306732,-14.83615361,-14.70163644,-15.45167863,-14.61880265,-13.51477633
-150,-18.08263536,-19.71213723,-18.3663641,-16.28279367,-15.84506502,-15.45325871,-14.39730412,-14.25744722,-14.14319283,-14.78207823,-14.08088483,-13.16492676
-149,-18.29646196,-19.30550668,-17.63002294,-15.68127,-15.27830578,-14.90871797,-13.85393315,-13.73444875,-13.63580108,-14.12691876,-13.5060502,-12.59841534
-148,-18.43247784,-18.77178182,-16.87446806,-15.13782094,-14.79403377,-14.47691493,-13.42883066,-13.31984805,-13.22983028,-13.83739311,-13.23014494,-12.22433449
-147,-18.50540774,-18.19140874,-16.1140089,-14.59116843,-14.3179995,-14.07365492,-13.14889922,-13.04267907,-12.95563979,-14.01442717,-13.36408068,-12.25190415
-146,-18.53733729,-17.6383057,-15.39202255,-14.02423817,-13.81361485,-13.64044251,-13.00049101,-12.89454797,-12.80834759,-14.60649513,-13.86079835,-12.68597761
-145,-18.54955123,-17.16020384,-14.75324728,-13.46104251,-13.29111804,-13.16757285,-12.93607015,-12.83412603,-12.75080769,-15.44739046,-14.59927547,-13.43622976
-144,-18.55641415,-16.77723891,-14.22670396,-12.9444087,-12.79145953,-12.68931542,-12.89381125,-12.80437365,-12.72925473,-16.19797698,-15.38782173,-14.37263466
-143,-18.56283107,-16.48944847,-13.82212901,-12.513123,-12.36036462,-12.25754158,-12.82564583,-12.75800263,-12.69707122,-16.40615119,-15.921385,-15.28187105
-142,-18.56463596,-16.2859347,-13.53376592,-12.18999855,-12.03025735,-11.91622044,-12.72037191,-12.67976933,-12.63644075,-15.96426652,-15.92035686,-15.80793594
-141,-18.55065358,-16.15270513,-13.34631994,-11.97996368,-11.81422164,-11.68914767,-12.60546278,-12.59071905,-12.56404716,-15.28554253,-15.47423324,-15.6982394
-140,-18.50551615,-16.07810377,-13.24084867,-11.87316029,-11.70744927,-11.57865213,-12.52778204,-12.53253619,-12.51784608,-14.77250917,-14.95865883,-15.17167512
-139,-18.41277356,-16.05528707,-13.19986768,-11.84984384,-11.69173193,-11.56939385,-12.53021531,-12.54599886,-12.53690919,-14.47728866,-14.59279365,-14.62787764
-138,-18.25803686,-16.08172149,-13.21120107,-11.88611829,-11.7412998,-11.63421564,-12.6376699,-12.65669112,-12.64708313,-14.1115851,-14.24400751,-14.17442338
-137,-18.03180337,-16.15642883,-13.2700627,-11.96021362,-11.82975627,-11.74162516,-12.85349365,-12.87040077,-12.85571304,-13.31440428,-13.56320432,-13.57755211
-136,-17.73141202,-16.27623473,-13.37911926,-12.05836739,-11.93741043,-11.86464985,-13.16203067,-13.17473938,-13.15256367,-12.10722818,-12.42654178,-12.58519951
-135,-17.36157479,-16.4323067,-13.54685522,-12.1785695,-12.05700477,-11.98906269,-13.53447048,-13.54409192,-13.51408068,-10.86007351,-11.13151641,-11.30857724
-134,-16.93330733,-16.60803217,-13.78502039,-12.33074612,-12.19550156,-12.1175804,-13.93738893,-13.94706746,-13.91005926,-9.877838532,-10.03714899,-10.0969347
-133,-16.46166819,-16.77912113,-14.10595863,-12.53355641,-12.3712603,-12.26797125,-14.34326878,-14.35595555,-14.31239515,-9.263301784,-9.317911845,-9.205521494
-132,-15.96310936,-16.91664101,-14.52023627,-12.8095295,-12.60834304,-12.46647382,-14.73999187,-14.75592765,-14.70416079,-8.969738208,-8.982122546,-8.719397029
-131,-15.45320077,-16.99294112,-15.03447829,-13.18047782,-12.93060767,-12.74011793,-15.13475155,-15.14997977,-15.08535268,-8.852677613,-8.924599428,-8.60197575
-130,-14.94514015,-16.98876304,-15.64887433,-13.66411502,-13.35722096,-13.11069216,-15.55004672,-15.55677256,-15.47209677,-8.724813067,-8.959588553,-8.728742606
-129,-14.44908095,-16.89824465,-16.35347771,-14.27156687,-13.89955983,-13.59080496,-16.0138821,-16.0023181,-15.88942778,-8.456694616,-8.890226028,-8.913602671
-128,-13.97208825,-16.72901345,-17.12227941,-15.0045773,-14.55831694,-14.18081876,-16.54824458,-16.50899279,-16.36072042,-8.065518216,-8.632404889,-8.981766814
-127,-13.51847792,-16.4975083,-17.90471512,-15.85060657,-15.31913894,-14.8649485,-17.15791094,-17.08434099,-16.89659315,-7.684286597,-8.271364085,-8.880446533
-126,-13.09033604,-16.22248589,-18.61754859,-16.77362866,-16.14523666,-15.60534111,-17.81893811,-17.70972956,-17.48392095,-7.457468122,-7.972369419,-8.705843826
-125,-12.68808366,-15.91990711,-19.14787927,-17.69954628,-16.96710232,-16.33509537,-18.46707766,-18.32915079,-18.0752201,-7.479480268,-7.870245907,-8.607753611
-124,-12.31100952,-15.60062308,-19.38386641,-18.50249068,-17.67566668,-16.95653513,-18.99442372,-18.84493245,-18.5835714,-7.788918058,-8.032589378,-8.69410603
-123,-11.95773112,-15.27053233,-19.27009856,-19.01694633,-18.13677327,-17.35798063,-19.27480587,-19.13803292,-18.8977615,-8.378514106,-8.466867478,-9.000766839
-122,-11.62656575,-14.93214475,-18.84091244,-19.1075841,-18.24395717,-17.45656051,-19.22751897,-19.12415976,-18.92996844,-9.198018996,-9.129551418,-9.495051386
-121,-11.31580512,-14.58652491,-18.19340893,-18.76154958,-17.98187538,-17.24228243,-18.87246437,-18.80938049,-18.6705233,-10.14828757,-9.926985217,-10.08493169
-120,-11.02389479,-14.23490934,-17.43241628,-18.09339053,-17.4320358,-16.77897364,-18.31223624,-18.2834258,-18.19296488,-11.08126217,-10.7210848,-10.64036272
-119,-10.74952659,-13.87964541,-16.63705552,-17.2564504,-16.71430594,-16.16178345,-17.66473951,-17.65985365,-17.60403412,-11.83462528,-11.36551412,-11.04504208
-118,-10.49165768,-13.52440559,-15.85606563,-16.36981137,-15.93084799,-15.47544607,-17.01667945,-17.02739832,-16.99381167,-12.30627673,-11.77382905,-11.25998513
-117,-10.24947498,-13.17385009,-15.1156823,-15.50355828,-15.14807242,-14.77834752,-16.41573612,-16.43754638,-16.41799898,-12.49880264,-11.95739922,-11.33485936
-116,-10.02232516,-12.83301078,-14.42839435,-14.69226747,-14.40264738,-14.10503968,-15.8807907,-15.91231794,-15.90246676,-12.47176031,-11.98138551,-11.35076904
-115,-9.809630195,-12.50665113,-13.7990576,-13.95033123,-13.71246074,-13.47398793,-15.4137712,-15.4555296,-15.45359912,-12.26383379,-11.89046534,-11.35616424
-114,-9.610804966,-12.19876823,-13.2284816,-13.28192151,-13.08495174,-12.89417232,-15.00815236,-15.06144097,-15.06702999,-11.87146465,-11.67772563,-11.34080906
-113,-9.425189024,-11.91230062,-12.71536096,-12.68634152,-12.52207237,-12.36930412,-14.65420128,-14.72030761,-14.73352834,-11.28564319,-11.30772516,-11.24659326
-112,-9.251999318,-11.64903071,-12.25727022,-12.16065139,-12.0229344,-11.90018725,-14.34200733,-14.42171285,-14.44265148,-10.53419157,-10.76353128,-11.00449346
-111,-9.090306318,-11.4096336,-11.85116957,-11.70089415,-11.58514874,-11.48595531,-14.06309887,-14.15644923,-14.18488817,-9.685747133,-10.07589325,-10.58109703
-110,-8.939032401,-11.19381646,-11.4936685,-11.3026546,-11.20549355,-11.12470694,-13.81113015,-13.91742282,-13.95276259,-8.821124859,-9.312596892,-10.00235451
-109,-8.796969045,-11.00050163,-11.18117441,-10.96131675,-10.88025738,-10.81384429,-13.58194183,-13.69986986,-13.74118818,-8.006030831,-8.546955905,-9.336256494
-108,-8.662808172,-10.82802033,-10.90998786,-10.67219107,-10.60543047,-10.55027324,-13.37322568,-13.50110607,-13.54729161,-7.281610318,-7.835154948,-8.656789156
-107,-8.535182572,-10.67429642,-10.67637249,-10.43058769,-10.37682588,-10.33054032,-13.18399042,-13.32000873,-13.36991403,-6.667536996,-7.210612849,-8.019934952
-106,-8.412710569,-10.53700956,-10.47661166,-10.23186711,-10.19016637,-10.15093898,-13.01398886,-13.15640897,-13.20898194,-6.168699469,-6.687990278,-7.458312889
-105,-8.294040642,-10.41373314,-10.30705625,-10.07148005,-10.041152,-10.00759744,-12.86321615,-13.01052814,-13.06490114,-5.781004082,-6.269309839,-6.985650421
-104,-8.17789254,-10.30204622,-10.16416503,-9.945000224,-9.925514217,-9.896552094,-12.73153433,-12.88253552,-12.9380682,-5.49530443,-5.948953856,-6.603151999
-103,-8.06309232,-10.19962066,-10.04453815,-9.848150688,-9.83905837,-9.813807607,-12.61843378,-12.77225269,-12.82853563,-5.299775684,-5.716997841,-6.304593867
-102,-7.948599673,-10.1042857,-9.944943864,-9.776823404,-9.77769544,-9.755383653,-12.52291363,-12.67899275,-12.73582391,-5.181265349,-5.561242944,-6.079712751
-101,-7.833526827,-10.01407287,-9.862338779,-9.727091886,-9.737463472,-9.717348829,-12.44345095,-12.60150447,-12.65884999,-5.126042536,-5.468417493,-5.916308477
-100,-7.717149111,-9.927244246,-9.793882304,-9.695216876,-9.714539252,-9.695842338,-12.37802779,-12.53798737,-12.595936,-5.120225863,-5.42490658,-5.801544797
-99,-7.59890795,-9.842307207,-9.736945944,-9.677645415,-9.705241059,-9.687084569,-12.32419032,-12.48614779,-12.54486502,-5.150064974,-5.417243649,-5.722797178
-98,-7.478407576,-9.758018803,-9.68911852,-9.671004023,-9.706023666,-9.687378203,-12.27912151,-12.44327391,-12.50295921,-5.202182276,-5.432503494,-5.668256671
-97,-7.355407034,-9.673382843,-9.648208428,-9.672087108,-9.713467168,-9.693101968,-12.23971604,-12.40631554,-12.467164,-5.263836021,-5.458669349,-5.627395965
-96,-7.229809204,-9.587642485,-9.612244247,-9.677842146,-9.724261748,-9.700699897,-12.2026515,-12.37196084,-12.43412958,-5.323231532,-5.484998136,-5.591336156
-95,-7.101648523,-9.500270858,-9.579475044,-9.685353615,-9.735191084,-9.706669669,-12.16445477,-12.33670787,-12.40028676,-5.369877365,-5.502372038,-5.553114089
-94,-6.9710789,-9.410961883,-9.54837176,-9.691828189,-9.743117784,-9.707554505,-12.12156509,-12.29693212,-12.36191833,-5.3949568,-5.503601409,-5.507835428
-93,-6.838363084,-9.319623011,-9.517630992,-9.69458411,-9.744974937,-9.699943922,-12.07039784,-12.24895375,-12.31522997,-5.39166591,-5.483636177,-5.452702895
-92,-6.703864406,-9.226371134,-9.486182342,-9.691048128,-9.737768443,-9.680489266,-12.00741377,-12.18911008,-12.25642639,-5.355463405,-5.439651762,-5.386925286
-91,-6.568041516,-9.131532449,-9.453200299,-9.678763577,-9.718595131,-9.645940081,-11.92919873,-12.11383849,-12.18179886,-5.284188124,-5.370997702,-5.311531699
-90,-6.431446391,-9.035646621,-9.418121228,-9.655413095,-9.684681408,-9.593206545,-11.83255791,-12.01977475,-12.08782929,-5.178025183,-5.279024184,-5.229128598
-89,-6.294725607,-8.939475082,-9.380665656,-9.618858885,-9.633446086,-9.51945119,-11.71462601,-11.9038687,-11.97131358,-5.039332905,-5.166823472,-5.143640036
-88,-6.158624579,-8.844012947,-9.340865484,-9.567202126,-9.562588824,-9.422209377,-11.57299128,-11.76351585,-11.82950267,-4.87236852,-5.038932557,-5.060063847
-87,-6.023994221,-8.750503591,-9.299095153,-9.498861027,-9.470202046,-9.299532897,-11.40582678,-11.59669837,-11.66025445,-4.682962961,-4.901038849,-4.984262255
-86,-5.891799244,-8.660454588,-9.256105183,-9.412664076,-9.354899632,-9.150144949,-11.21201727,-11.40212328,-11.46218354,-4.478191875,-4.759716258,-4.92278859
-85,-5.763127061,-8.575653392,-9.213055926,-9.30795157,-9.215950567,-8.973589016,-10.9912664,-11.17934188,-11.2347914,-4.266075345,-4.622200172,-4.882735241
-84,-5.639196089,-8.498180861,-9.171548832,-9.184674946,-9.053401293,-8.770350401,-10.74416728,-10.92883183,-10.97855694,-4.055319031,-4.496191194,-4.871571421
