,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-19.73997877,-16.35673621,-15.43876096,-15.49368262,-15.57844652,-15.6895013,-16.54723278,-16.57312902,-16.60121216,-16.24559262,-16.20185327,-15.92599334
-179,-19.57117762,-16.4230133,-15.55338126,-15.64434071,-15.73153606,-15.84235528,-16.55396625,-16.55391396,-16.56021618,-16.64897868,-16.51993349,-16.0502596
-178,-19.38442095,-16.60683033,-15.83390541,-15.96781911,-16.05380643,-16.15958222,-16.79305313,-16.78946283,-16.79219699,-16.95778637,-16.47479136,-15.87270773
-177,-19.21091683,-16.90456819,-16.27828782,-16.46754531,-16.55279961,-16.65461335,-17.33840458,-17.35139072,-17.36529262,-16.76940359,-15.92861146,-15.48397041
-176,-19.10121104,-17.31918033,-16.89151226,-17.15882951,-17.24933822,-17.35493229,-18.24041378,-18.28256311,-18.31464373,-16.13551919,-15.20428301,-15.16286159
-175,-19.09787276,-17.85405063,-17.6805312,-18.06350327,-18.17096519,-18.29381032,-19.51806228,-19.59038921,-19.63627507,-15.44462037,-14.6510796,-15.05500567
-174,-19.21250853,-18.50376724,-18.64824504,-19.20494949,-19.34685203,-19.50506921,-21.15489568,-21.24174482,-21.28144571,-14.99792429,-14.4384283,-15.17480982
-173,-19.41579998,-19.24569889,-19.78826856,-20.60515211,-20.80603323,-21.02266865,-23.08560069,-23.14757483,-23.14230437,-14.93189083,-14.63404957,-15.52999781
-172,-19.64384423,-20.03683761,-21.07999463,-22.28050437,-22.5749798,-22.87995122,-25.14213773,-25.11064376,-25.00843732,-15.26437292,-15.232346,-16.0904968
-171,-19.82325001,-20.81887451,-22.47822549,-24.22054587,-24.65525485,-25.08490925,-26.92770011,-26.72833461,-26.49971201,-15.84681854,-16.03831909,-16.59955548
-170,-19.90547724,-21.52823182,-23.88435849,-26.30384033,-26.92016244,-27.49245241,-27.85736593,-27.5082654,-27.20915541,-16.29655135,-16.56067417,-16.63274816
-169,-19.88244062,-22.10012481,-25.09548664,-28.09779563,-28.84412155,-29.46123558,-27.84915147,-27.48652606,-27.22381868,-16.26013981,-16.43000615,-16.20636202
-168,-19.76710155,-22.46358946,-25.8101215,-28.86637754,-29.53078616,-29.98323873,-27.58684792,-27.31376251,-27.14289859,-15.90574628,-15.98381723,-15.85005367
