,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-16.35886831,-15.50784547,-15.63257377,-15.87011193,-15.92957069,-16.0085149,-18.55514791,-18.86073389,-19.09505724,-14.47568967,-14.84616813,-16.05057731
-179,-16.48419069,-15.72681293,-15.98444875,-16.29989317,-16.29869713,-16.30098798,-18.28096356,-18.56832402,-18.79728583,-15.1183432,-15.53151522,-16.9171044
-178,-16.6166258,-15.98360507,-16.28569291,-16.71776759,-16.70209,-16.66572301,-18.01851698,-18.23358953,-18.41084503,-15.97154163,-16.38465529,-17.81230469
-177,-16.73980425,-16.31478654,-16.59940736,-17.01819883,-17.00382867,-16.9550954,-17.8692125,-18.00145825,-18.1106516,-17.11194936,-17.5438533,-18.84402904
-176,-16.83729501,-16.7346667,-17.02618866,-17.23832987,-17.189411,-17.10974858,-17.68761536,-17.760798,-17.81854964,-18.45573091,-18.97268236,-20.02802006
-175,-16.90792604,-17.22140545,-17.62647971,-17.51656794,-17.38077517,-17.22615468,-17.34423918,-17.38229528,-17.41164932,-19.69105159,-20.29267317,-21.03748487
-174,-16.97206839,-17.72257747,-18.36793207,-17.94080133,-17.69031287,-17.43256286,-16.93634555,-16.94094686,-16.94693679,-20.39453663,-20.85027604,-21.14159045
-173,-17.06072122,-18.18224893,-19.11741308,-18.44629896,-18.08985073,-17.73537453,-16.66487345,-16.63090681,-16.60846944,-20.38645459,-20.40626798,-20.04526311
-172,-17.19083106,-18.5727667,-19.70214007,-18.83411639,-18.40428452,-17.98582513,-16.59532838,-16.53642246,-16.49341301,-19.86674674,-19.44680201,-18.49605968
-171,-17.33776364,-18.89573529,-20.02210495,-18.93962363,-18.46390255,-18.0107598,-16.57326571,-16.5286454,-16.49662763,-19.11644637,-18.44451964,-17.18848857
-170,-17.41965932,-19.13787439,-20.07655422,-18.79596505,-18.28745215,-17.80750907,-16.35079542,-16.35568755,-16.36990391,-18.27791295,-17.51247331,-16.25120623
-169,-17.31788293,-19.22021309,-19.85996767,-18.53383463,-18.02156026,-17.52710623,-15.87514415,-15.91772962,-15.97542851,-17.39304473,-16.59243663,-15.48487608
-168,-16.94923828,-19.01259007,-19.31886071,-18.17577978,-17.72736621,-17.26740119,-15.36570942,-15.40253267,-15.46537941,-16.5177921,-15.69307128,-14.70352577
-167,-16.33792994,-18.44689941,-18.46462747,-17.62325672,-17.31374394,-16.96466239,-15.06083072,-15.06457631,-15.10133934,-15.75001215,-14.93285319,-13.96716724
-166,-15.60076799,-17.61195012,-17.44956693,-16.83434059,-16.67753839,-16.48277231,-15.02176038,-15.00254057,-15.01308282,-15.16651693,-14.40998816,-13.46180849
