,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-18.96551227,-16.7062869,-16.10028342,-16.44293554,-16.57404608,-16.71515362,-16.81464988,-16.84291499,-16.89881951,-15.63763063,-15.56614849,-15.1660621
-179,-19.33373559,-16.85200634,-16.27130073,-16.69535522,-16.84833079,-17.01586046,-17.25741313,-17.26405627,-17.29607456,-16.53545512,-16.26917216,-15.42217359
-178,-19.86935776,-17.12636071,-16.59488139,-17.09742979,-17.2733855,-17.47024405,-17.78612319,-17.75814529,-17.75630769,-17.26588371,-16.661021,-15.58734328
-177,-20.51524354,-17.51355722,-17.05853603,-17.65207073,-17.85590623,-18.08711305,-18.3971751,-18.33387339,-18.30071998,-17.58777943,-16.86414104,-15.97173611
-176,-21.18462053,-17.98955982,-17.64709496,-18.36585812,-18.60420587,-18.87200382,-19.09628425,-19.01223879,-18.96272088,-17.64172163,-17.02128875,-16.4918116
-175,-21.78074729,-18.52570415,-18.3460686,-19.24224037,-19.5178963,-19.81415965,-19.8838074,-19.80349005,-19.75916929,-17.34580875,-16.89492831,-16.70120698
-174,-22.20922457,-19.09274393,-19.14547267,-20.27797073,-20.58365441,-20.88506163,-20.7504111,-20.69746292,-20.67842888,-16.57108626,-16.36682354,-16.51296233
-173,-22.38193514,-19.66739392,-20.04281756,-21.46570821,-21.78133749,-22.05353582,-21.66777073,-21.65432504,-21.67119835,-15.64927338,-15.78114709,-16.32635436
-172,-22.241366,-20.24048612,-21.03945803,-22.78971146,-23.08376729,-23.29252102,-22.55131789,-22.57373581,-22.62271002,-14.99246984,-15.44310363,-16.32350187
-171,-21.81237999,-20.8188032,-22.11647477,-24.17039095,-24.39767807,-24.51295809,-23.22632778,-23.2730611,-23.3403815,-14.70518415,-15.34500317,-16.33184184
-170,-21.21368964,-21.40834339,-23.16982983,-25.30528132,-25.40456148,-25.40052703,-23.526092,-23.59672537,-23.67770362,-14.68818045,-15.36842841,-16.24623553
-169,-20.59232121,-21.97313781,-23.91971906,-25.60658839,-25.56095377,-25.46318789,-23.52258478,-23.63681975,-23.75012253,-14.86449873,-15.50778305,-16.1947212
-168,-20.0485052,-22.38687472,-23.98411483,-24.84326068,-24.76215569,-24.68585395,-23.54285062,-23.72803118,-23.90532711,-15.23956563,-15.78129475,-16.18228434
-167,-19.60587119,-22.44767253,-23.29770814,-23.60075772,-23.61712878,-23.67622701,-23.93307065,-24.21532671,-24.48954338,-15.71427245,-15.99428723,-15.97117039
-166,-19.22135414,-22.03735068,-22.25365859,-22.51021409,-22.69717804,-22.95686298,-24.90614918,-25.31344533,-25.72015439,-15.95770885,-15.87958293,-15.54432659
-165,-18.82240453,-21.278394,-21.27684549,-21.84104463,-22.23161038,-22.72442163,-26.45125867,-27.01157853,-27.58758223,-15.79115471,-15.58783908,-15.292914
-164,-18.3627699,-20.43862533,-20.58842862,-21.62383131,-22.21857202,-22.93629457,-28.02674442,-28.72133616,-29.44852204,-15.58416785,-15.58831543,-15.55525177
-163,-17.86491348,-19.74187513,-20.25058331,-21.74019596,-22.47639987,-23.31732456,-28.41648207,-29.12023744,-29.84584068,-15.8365843,-16.16304853,-16.30359046
-162,-17.41355351,-19.30607237,-20.22806795,-21.9260464,-22.63916758,-23.37737091,-27.4409738,-28.10832876,-28.77544962,-16.74862127,-17.20131462,-17.14511944
-161,-17.11394289,-19.16379214,-20.40204415,-21.83930303,-22.33643265,-22.79444604,-26.202648,-26.87495747,-27.52285592,-18.13301847,-18.22502227,-17.71276512
-160,-17.05744519,-19.28265385,-20.57183503,-21.31951475,-21.56743396,-21.80501393,-25.17835318,-25.83256417,-26.4266899,-19.45792429,-18.8484217,-18.14248356
-159,-17.31037638,-19.5650546,-20.51860244,-20.54010959,-20.66140392,-20.83481737,-24.22819975,-24.78663162,-25.25321891,-20.33752806,-19.26321915,-18.6324616
-158,-17.91449813,-19.8447441,-20.15329617,-19.78012517,-19.89485448,-20.09464983,-23.15178347,-23.57500187,-23.90693477,-20.93101806,-19.66723578,-18.78151271
-157,-18.88137175,-19.92758147,-19.58544173,-19.19894922,-19.35326988,-19.58179422,-21.98189799,-22.31314422,-22.57809505,-21.25580645,-19.69589474,-18.06429515
-156,-20.158033,-19.70384791,-19.00599587,-18.81578011,-18.9869644,-19.1875911,-20.8980073,-21.20343136,-21.46443645,-20.92172049,-18.9603462,-16.81761785
-155,-21.53062405,-19.23081543,-18.55492546,-18.56435977,-18.68985294,-18.79501809,-20.01103296,-20.31984609,-20.58923243,-19.93374516,-17.6939716,-15.59968605
-154,-22.50594837,-18.66954511,-18.28810339,-18.35228198,-18.37352149,-18.35664338,-19.28660741,-19.57540967,-19.81329218,-18.61764357,-16.24050712,-14.56679191
-153,-22.55800117,-18.16747495,-18.19733326,-18.11650658,-18.01868787,-17.90998686,-18.58789405,-18.80020659,-18.94760714,-17.0361266,-14.77219614,-13.72737909
-152,-21.79221856,-17.80896433,-18.2362528,-17.85347575,-17.66896554,-17.52339917,-17.78434869,-17.88015164,-17.91402979,-15.29313619,-13.49283591,-13.15106274
-151,-20.76603546,-17.62372635,-18.34326534,-17.60275001,-17.37920045,-17.23374768,-16.8601296,-16.85198301,-16.80339431,-13.73709552,-12.62560543,-12.88755538
-150,-19.85541249,-17.60808371,-18.46330189,-17.40378225,-17.16950616,-17.02074689,-15.91277657,-15.84785555,-15.76703607,-12.67184548,-12.27478488,-12.79386775
-149,-19.18297758,-17.74120769,-18.56384124,-17.26346582,-17.01180219,-16.81938788,-15.05782783,-14.97978941,-14.9017899,-12.19069177,-12.33812202,-12.50716574
-148,-18.75281092,-17.99514397,-18.63621514,-17.15065684,-16.84695111,-16.5602531,-14.35739358,-14.2874164,-14.2225748,-12.17458405,-12.45973026,-11.78334661
-147,-18.52989507,-18.3402334,-18.681574,-17.01503556,-16.62203304,-16.21609558,-13.80983948,-13.74655326,-13.68577307,-12.29674875,-12.19764007,-10.83031726
-146,-18.4704622,-18.74622224,-18.69344669,-16.81933082,-16.32552307,-15.81805175,-13.37164365,-13.30036203,-13.22676349,-12.15584997,-11.49454958,-10.01643218
-145,-18.53190767,-19.17848858,-18.65092051,-16.56405124,-15.99263084,-15.4289272,-12.98959767,-12.89585169,-12.79837587,-11.6366406,-10.7037691,-9.520242319
-144,-18.67435771,-19.59012135,-18.52792703,-16.28571716,-15.67909072,-15.10375614,-12.63166141,-12.51296526,-12.39491664,-10.98810926,-10.12033608,-9.313174832
-143,-18.8579102,-19.91482271,-18.31207065,-16.03316298,-15.42996321,-14.86775159,-12.30221475,-12.17089473,-12.04814693,-10.46947157,-9.80642182,-9.261489468
-142,-19.03795036,-20.07152258,-18.01775962,-15.84342676,-15.26381297,-14.71499098,-12.03394517,-11.91053922,-11.80273877,-10.15885594,-9.680266481,-9.242899965
-141,-19.16209586,-19.99086733,-17.68260588,-15.73053854,-15.1729197,-14.61920224,-11.86624196,-11.77008931,-11.69224223,-10.00853492,-9.638630711,-9.231636337
-140,-19.17357382,-19.65334828,-17.35143156,-15.68654918,-15.13286036,-14.54966448,-11.82655213,-11.76927665,-11.72739748,-9.952735578,-9.64342115,-9.282820142
-139,-19.02379894,-19.10416906,-17.06076488,-15.68970259,-15.11612139,-14.48654801,-11.92214614,-11.90527951,-11.89591963,-9.976983086,-9.727214316,-9.446269414
-138,-18.68929603,-18.42764663,-16.83136295,-15.7156703,-15.10502066,-14.42938116,-12.14085924,-12.15690169,-12.16974058,-10.11425158,-9.931051408,-9.709576514
-137,-18.18065238,-17.70784186,-16.66819407,-15.74813149,-15.09874894,-14.39512667,-12.45768823,-12.49414138,-12.51718284,-10.39217079,-10.24844463,-10.01052154
-136,-17.5356475,-17.00582069,-16.56444375,-15.78469869,-15.11174801,-14.40881322,-12.84519786,-12.89091251,-12.91695607,-10.78951382,-10.62173681,-10.29587097
-135,-16.8026527,-16.3567337,-16.50688069,-15.83598656,-15.16581031,-14.49337488,-13.28508856,-13.33672567,-13.36813589,-11.23654629,-10.98809248,-10.56881919
-134,-16.02634814,-15.77610177,-16.48105748,-15.91944385,-15.28130312,-14.66333028,-13.77633891,-13.84158907,-13.89051136,-11.66203457,-11.33472854,-10.87450413
-133,-15.24139959,-15.26726464,-16.47530858,-16.05203299,-15.47146615,-14.92301646,-14.3356977,-14.43134229,-14.51520436,-12.0524117,-11.70546353,-11.24255441
-132,-14.47232032,-14.82708516,-16.48277372,-16.24506591,-15.74060361,-15.26801685,-14.99041978,-15.13625545,-15.27068743,-12.4606657,-12.14973814,-11.646179
-131,-13.73577707,-14.44960965,-16.50122393,-16.50219777,-16.08515563,-15.68828726,-15.76709168,-15.97785376,-16.16863614,-12.95051298,-12.6644752,-12.01206774
-130,-13.04294622,-14.12812932,-16.53123713,-16.81997982,-16.4963592,-16.17191182,-16.68011594,-16.95604572,-17.18980122,-13.52791874,-13.17389332,-12.27835438
-129,-12.40112378,-13.85614655,-16.57378992,-17.18994724,-16.96349058,-16.7086247,-17.72016328,-18.03524927,-18.26880082,-14.10683411,-13.56872812,-12.45360426
-128,-11.81463725,-13.62766105,-16.62830161,-17.60133587,-17.47686233,-17.29224445,-18.84092343,-19.12990552,-19.28448572,-14.53932205,-13.79360375,-12.61458154
-127,-11.28534536,-13.43709993,-16.69173131,-18.04365657,-18.02980911,-17.92134002,-19.9461068,-20.10147831,-20.07993682,-14.72466373,-13.90218628,-12.84949238
-126,-10.81297295,-13.27913294,-16.75882268,-18.50843615,-18.61908351,-18.59795062,-20.89164937,-20.79497746,-20.53369882,-14.70862414,-14.01421557,-13.20629698
-125,-10.39542234,-13.14853382,-16.82321964,-18.98962798,-19.24351745,-19.32479076,-21.53013387,-21.12064172,-20.63535173,-14.64511703,-14.23189697,-13.67272699
-124,-10.02911711,-13.04016993,-16.87896974,-19.4825975,-19.90132045,-20.10171776,-21.79123553,-21.10740692,-20.47441306,-14.6803203,-14.59142159,-14.18097605
-123,-9.709384416,-12.94913248,-16.92187711,-19.98207956,-20.58673265,-20.92223671,-21.71923789,-20.86042815,-20.16011529,-14.88732112,-15.0515519,-14.63466985
-122,-9.430859707,-12.87096627,-16.95027134,-20.47987273,-21.28689158,-21.77074303,-21.42094868,-20.4820721,-19.76699606,-15.25695918,-15.50238559,-14.95852984
-121,-9.187888844,-12.80192673,-16.96500659,-20.96318457,-21.97991995,-22.62140324,-20.9941443,-20.0365402,-19.3322317,-15.70395738,-15.80461475,-15.143659
-120,-8.974900248,-12.73918602,-16.96880263,-21.41450507,-22.63553209,-23.44002374,-20.50114658,-19.55702841,-18.87436575,-16.08369726,-15.86756154,-15.24538536
-119,-8.786720188,-12.68092754,-16.96524816,-21.81363268,-23.21949291,-24.19020651,-19.97743756,-19.06344051,-18.40887752,-16.24683434,-15.71015476,-15.33621628
