,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-16.74066958,-16.49637423,-16.36984908,-16.35874574,-16.27618263,-16.22511636,-15.8943841,-15.90244958,-15.92985369,-14.91937762,-14.86903372,-15.91938214
-179,-16.67249103,-16.35016874,-15.95624292,-16.08191665,-16.11298157,-16.14438387,-15.49780506,-15.48083048,-15.49267189,-14.51642665,-14.35476647,-15.17001361
-178,-16.58790372,-16.18149915,-15.6513105,-15.96863,-16.03382711,-16.04241324,-15.05638355,-15.05018885,-15.0772418,-14.18400595,-13.9990538,-14.70797515
-177,-16.4558274,-16.03629946,-15.49444425,-15.84334481,-15.83960184,-15.74547224,-14.74575421,-14.77023897,-14.82534996,-14.12507974,-13.93595968,-14.49083028
-176,-16.2794748,-15.94943488,-15.43550861,-15.55620366,-15.45177379,-15.28346775,-14.61753776,-14.66107362,-14.72885843,-14.33959691,-14.02985878,-14.20140952
-175,-16.08447414,-15.9180599,-15.37042052,-15.13401796,-14.99766494,-14.85361602,-14.56630989,-14.59356922,-14.64099399,-14.57863818,-13.97284549,-13.66189307
-174,-15.88918612,-15.90442578,-15.22290937,-14.74363578,-14.66651102,-14.61819272,-14.41875544,-14.40278305,-14.41062208,-14.57810232,-13.66915433,-13.11077227
-173,-15.68609335,-15.8648656,-15.010415,-14.52340442,-14.54359392,-14.58626707,-14.11043649,-14.06412171,-14.0499554,-14.39631534,-13.37210729,-12.84765556
-172,-15.44854598,-15.78428627,-14.81869976,-14.48058438,-14.559387,-14.61407613,-13.76127865,-13.72362717,-13.72252798,-14.30352649,-13.32615267,-12.89165601
-171,-15.15548548,-15.68506415,-14.71569851,-14.4910195,-14.53796637,-14.51102014,-13.54287651,-13.54132728,-13.57362453,-14.43016724,-13.52582647,-13.01553961
-170,-14.81163817,-15.60072991,-14.69190567,-14.39113371,-14.3447348,-14.22399176,-13.52436368,-13.55572275,-13.6139105,-14.69186932,-13.79663122,-13.04873885
-169,-14.4442124,-15.53989808,-14.66469429,-14.13155281,-14.0265856,-13.89494503,-13.62450616,-13.65850941,-13.71364262,-14.96623225,-14.04495849,-13.1194475
-168,-14.08094036,-15.47161185,-14.54572858,-13.82886647,-13.75792186,-13.70749788,-13.66792428,-13.67351421,-13.70168361,-15.28092194,-14.38949805,-13.46541029
-167,-13.73083543,-15.34547734,-14.32610919,-13.6436729,-13.6733509,-13.73359318,-13.54016777,-13.52110241,-13.53189506,-15.77138624,-14.99795848,-14.13512858
-166,-13.38230101,-15.13506996,-14.08819663,-13.64640967,-13.77057919,-13.8859061,-13.31010591,-13.30435826,-13.33251024,-16.499207,-15.89067607,-14.93232343
-165,-13.01796259,-14.86631242,-13.92980316,-13.76864594,-13.90448592,-13.96152288,-13.15400512,-13.1978238,-13.27089821,-17.38218372,-16.92344944,-15.63863339
-164,-12.63409027,-14.60038987,-13.88484408,-13.83486844,-13.87661182,-13.80097376,-13.19787268,-13.30036864,-13.42002111,-18.28585472,-17.93321774,-16.30685178
-163,-12.24901034,-14.38855467,-13.89402573,-13.6920715,-13.61366137,-13.45322976,-13.44465707,-13.58329553,-13.72398127,-19.12684245,-18.86737212,-17.16190906
-162,-11.89420661,-14.2366008,-13.83511354,-13.35972814,-13.24505264,-13.11971158,-13.78570983,-13.9175074,-14.04041165,-19.79842745,-19.69734316,-18.26194328
-161,-11.59633598,-14.097195,-13.6133222,-13.00797305,-12.96950447,-12.97321252,-14.07497937,-14.16579676,-14.24792308,-20.10078627,-20.32668092,-19.3502508
-160,-11.3626626,-13.89413295,-13.24839728,-12.80478108,-12.91046354,-13.07129599,-14.24233414,-14.29396028,-14.34597099,-19.99595706,-20.70879424,-19.94325429
-159,-11.17654086,-13.57273123,-12.85854222,-12.82433313,-13.07912407,-13.36124632,-14.33623126,-14.37576123,-14.42343528,-19.72462734,-20.79141506,-19.62548358
-158,-11.00401162,-13.14274681,-12.56903741,-13.0414905,-13.39551202,-13.72016638,-14.43482219,-14.48018552,-14.53440391,-19.42226694,-20.26166328,-18.48001875
-157,-10.80947455,-12.67335581,-12.44943428,-13.36106691,-13.73564086,-14.02584377,-14.53784342,-14.57958201,-14.62670042,-18.91536054,-18.96866591,-17.08544566
-156,-10.57366836,-12.24978307,-12.5034481,-13.66934198,-14.00283653,-14.2319098,-14.55191251,-14.56533772,-14.58378821,-18.05025545,-17.42084839,-15.94098813
-155,-10.30308528,-11.935622,-12.68400098,-13.89753479,-14.17925673,-14.36964194,-14.38066267,-14.35624114,-14.34298292,-17.02352314,-16.16863977,-15.18561343
-154,-10.02469613,-11.7602168,-12.91779564,-14.04615839,-14.29748833,-14.46723504,-14.02935572,-13.98495031,-13.95872738,-16.15074105,-15.38184477,-14.67422365
-153,-9.771447633,-11.7224918,-13.13500878,-14.13886973,-14.36195259,-14.48127361,-13.59389733,-13.55352516,-13.53250106,-15.57388772,-14.94831356,-14.16436079
-152,-9.569188121,-11.79992783,-13.2917233,-14.15816253,-14.31058955,-14.31796113,-13.16054729,-13.13120655,-13.116285,-15.25132434,-14.62745154,-13.55780985
-151,-9.430822246,-11.95778985,-13.36854849,-14.03607449,-14.06319184,-13.93170428,-12.74577477,-12.71516594,-12.69281229,-15.05134983,-14.21449079,-12.97423315
-150,-9.357100188,-12.15719615,-13.34956493,-13.71636357,-13.6119186,-13.38775473,-12.31371353,-12.26459448,-12.22171158,-14.83540446,-13.67234663,-12.57865882
-149,-9.340950933,-12.36088058,-13.20893154,-13.22320724,-13.04410083,-12.8087977,-11.8313149,-11.75802417,-11.69443896,-14.50472599,-13.10015861,-12.44056898
-148,-9.372492129,-12.53557994,-12.92455387,-12.65174912,-12.47284951,-12.2856683,-11.30784626,-11.22014558,-11.14751299,-14.02420574,-12.61721049,-12.53769355
-147,-9.442699846,-12.65180295,-12.50520138,-12.0990381,-11.9676009,-11.84216991,-10.7877047,-10.70072819,-10.63173487,-13.4487282,-12.31446187,-12.81778919
-146,-9.544687437,-12.68413367,-11.99808395,-11.61536759,-11.53804282,-11.45094776,-10.31483578,-10.23755635,-10.17737117,-12.91871078,-12.26036666,-13.23583657
-145,-9.67270599,-12.6149382,-11.46677187,-11.20077954,-11.15494634,-11.06959089,-9.906658073,-9.837955707,-9.783308473,-12.59773294,-12.49529724,-13.72593596
-144,-9.820034367,-12.44023605,-10.96234145,-10.82702536,-10.78246519,-10.67424672,-9.552286248,-9.48463274,-9.428673631,-12.60125242,-12.99354976,-14.13843639
-143,-9.977350347,-12.17249686,-10.50928565,-10.46514525,-10.40413153,-10.27282652,-9.227938105,-9.15453309,-9.093129551,-12.95007073,-13.60347818,-14.26048478
-142,-10.13277982,-11.83658379,-10.10793812,-10.10482258,-10.02985327,-9.893511711,-8.916184486,-8.836432085,-8.771490783,-13.52729641,-14.03069405,-13.99375224
-141,-10.27384092,-11.46094426,-9.745650064,-9.757031561,-9.683930114,-9.563115878,-8.616633733,-8.536387677,-8.474264696,-14.04679679,-14.01029644,-13.46271692
-140,-10.39036845,-11.06958579,-9.409276356,-9.442517952,-9.387235989,-9.29238603,-8.342686079,-8.269897388,-8.216888243,-14.16924636,-13.57078294,-12.85844684
-139,-10.47680152,-10.678478,-9.093597281,-9.177321999,-9.146222394,-9.073945308,-8.109566415,-8.049183857,-8.007718761,-13.81085481,-12.95542488,-12.27239921
-138,-10.5324995,-10.29631788,-8.802938363,-8.96458561,-8.952288569,-8.889694113,-7.923495076,-7.874941072,-7.842657821,-13.19722946,-12.34030836,-11.69495641
-137,-10.55997304,-9.927538476,-8.546972437,-8.794815805,-8.788662819,-8.721846386,-7.77810861,-7.736272072,-7.708018224,-12.55849745,-11.75268713,-11.09453893
-136,-10.56219888,-9.575347853,-8.334436214,-8.652161668,-8.639919091,-8.561648305,-7.658471521,-7.617264342,-7.588663127,-11.96364723,-11.15023981,-10.47632721
-135,-10.54058654,-9.24346546,-8.168395406,-8.522681062,-8.499128541,-8.411573684,-7.549402996,-7.505811965,-7.476308222,-11.37399018,-10.51273338,-9.880997199
-134,-10.49456338,-8.936290137,-8.044735363,-8.400410791,-8.369285664,-8.28091133,-7.443261123,-7.399573651,-7.373189396,-10.7470437,-9.873375669,-9.3497122
-133,-10.4227256,-8.658019707,-7.95373433,-8.288456549,-8.259181545,-8.178541197,-7.34291087,-7.305930029,-7.289479418,-10.09610001,-9.288914339,-8.900224786
-132,-10.32469474,-8.411520013,-7.883605381,-8.195292271,-8.177005814,-8.107297466,-7.258765658,-7.236802726,-7.236914588,-9.478792542,-8.798622526,-8.528060905
-131,-10.20256899,-8.19757415,-7.824470988,-8.129041564,-8.125344199,-8.06220236,-7.202505751,-7.202086176,-7.222751306,-8.951871859,-8.407929144,-8.221522914
-130,-10.06121332,-8.014784148,-7.771198466,-8.092857805,-8.099490993,-8.032515146,-7.181350086,-7.205208395,-7.246835538,-8.541154817,-8.096171712,-7.97559838
-129,-9.907336553,-7.860075779,-7.724058736,-8.083098087,-8.089095595,-8.00612967,-7.195342488,-7.242261435,-7.302345345,-8.238290846,-7.835413205,-7.795925583
-128,-9.74790759,-7.72956586,-7.687214214,-8.090410984,-8.081999801,-7.974199951,-7.238053689,-7.304307475,-7.379248758,-8.013510759,-7.608377643,-7.692684414
-127,-9.588645146,-7.619486643,-7.666004779,-8.10289329,-8.068532989,-7.933929675,-7.299779603,-7.381487344,-7.46877312,-7.833683673,-7.416400763,-7.670478864
-126,-9.433102226,-7.526895103,-7.664297301,-8.109968494,-8.044453457,-7.888449864,-7.371710725,-7.46714306,-7.566965362,-7.677799111,-7.274767671,-7.720624695
