,Freq='1.71GHz' Phi='0deg',Freq='1.77GHz' Phi='0deg',Freq='1.83GHz' Phi='0deg',Freq='1.885GHz' Phi='0deg',Freq='1.9GHz' Phi='0deg',Freq='1.915GHz' Phi='0deg',Freq='2.01GHz' Phi='0deg',Freq='2.018GHz' Phi='0deg',Freq='2.025GHz' Phi='0deg',Freq='2.575GHz' Phi='0deg',Freq='2.6GHz' Phi='0deg',Freq='2.635GHz' Phi='0deg'
-180,-16.05767207,-16.66753774,-17.09408498,-18.63379834,-19.07262878,-19.34708538,-18.9867584,-18.88999015,-18.74550543,-19.78448321,-18.97572728,-17.85698287
-179,-16.14983905,-17.09382669,-17.46675444,-18.75764178,-19.11963844,-19.3403937,-19.64890476,-19.53824615,-19.36709626,-19.33529868,-18.51012303,-17.61099731
-178,-16.28170219,-17.56477801,-17.71859698,-18.85399448,-19.21531874,-19.48753632,-20.23987861,-20.08348276,-19.87057148,-19.1056764,-18.46524479,-17.48962327
-177,-16.4025209,-18.00742899,-17.90397769,-19.10705675,-19.53513935,-19.91341427,-20.63818708,-20.47379326,-20.25803803,-19.27569441,-18.2809318,-16.80636828
-176,-16.47752583,-18.40796679,-18.17676206,-19.6009583,-20.09737127,-20.54004683,-21.03020815,-20.93045295,-20.76449795,-18.93210386,-17.21835595,-15.76926117
-175,-16.51580205,-18.83700453,-18.64212159,-20.24186164,-20.72858405,-21.11347549,-21.7208616,-21.72477558,-21.62420693,-17.55669938,-15.84092575,-15.07418779
-174,-16.56527513,-19.38880865,-19.2458954,-20.79021117,-21.17167895,-21.41975479,-22.86125241,-22.94081994,-22.86082768,-16.06488269,-14.92659449,-14.91135447
-173,-16.67677752,-20.07859725,-19.75640253,-21.0689248,-21.35736137,-21.55089111,-24.2898303,-24.33410408,-24.16878736,-15.12629628,-14.61948222,-15.04423277
-172,-16.8654092,-20.75762304,-19.92972401,-21.18090404,-21.50315083,-21.80220774,-25.49750874,-25.37827068,-25.05250074,-14.79391191,-14.74155531,-15.22117213
-171,-17.09205705,-21.13692572,-19.7858909,-21.38604881,-21.86220828,-22.36564522,-26.1265034,-25.86912098,-25.44908741,-14.93436158,-15.1044671,-15.40820093
-170,-17.27750287,-21.04077983,-19.57204025,-21.82202451,-22.4872181,-23.17513637,-26.53347182,-26.23584087,-25.79705634,-15.41881023,-15.57784822,-15.55632716
-169,-17.35275565,-20.62205825,-19.46213968,-22.37052127,-23.16189132,-23.90939698,-27.15042491,-26.77137867,-26.27198001,-16.04222285,-15.92720252,-15.45618991
-168,-17.31419484,-20.15338085,-19.40911532,-22.71014911,-23.53762735,-24.266797,-27.70000205,-27.07988107,-26.44100099,-16.399712,-15.88746418,-15.12730985
-167,-17.22530021,-19.75114313,-19.21258168,-22.6378361,-23.5297103,-24.36243509,-27.3553306,-26.54161677,-25.85339317,-16.26207816,-15.60846079,-14.89370287
-166,-17.16026024,-19.34388455,-18.74080332,-22.33493254,-23.42801997,-24.55665047,-26.17140343,-25.43857311,-24.86658219,-16.00171804,-15.48675546,-14.85108914
-165,-17.14602915,-18.79920673,-18.09310989,-22.10946922,-23.49977041,-24.98868551,-25.02107311,-24.47674624,-24.05814046,-16.01909224,-15.53641961,-14.67350297
-164,-17.1424568,-18.08654372,-17.48047766,-22.0699618,-23.7191201,-25.3959966,-24.29883506,-23.88530375,-23.56293141,-16.12795004,-15.30978947,-14.14986397
-163,-17.06789294,-17.31804122,-17.03298414,-22.08434735,-23.80901519,-25.34149596,-23.8380793,-23.44464474,-23.13738171,-15.75080408,-14.63806143,-13.61417525
-162,-16.86121018,-16.64146827,-16.74517025,-21.94028085,-23.56038002,-24.8332885,-23.24319523,-22.80835955,-22.48320591,-14.91427336,-14.00617048,-13.42482569
-161,-16.53530918,-16.14018158,-16.52003578,-21.59945838,-23.13371892,-24.34713864,-22.33624467,-21.90907787,-21.60786024,-14.26419108,-13.81297472,-13.5124382
-160,-16.16789792,-15.81108647,-16.25699735,-21.25359894,-22.86410671,-24.23227844,-21.34327422,-21.00326141,-20.77660261,-14.13600224,-13.94781284,-13.50922846
-159,-15.84494209,-15.58808479,-15.93699662,-21.11475965,-22.92676557,-24.4596203,-20.55805233,-20.33173876,-20.18938433,-14.3213445,-13.95905759,-13.27945357
-158,-15.61595096,-15.38675008,-15.63021254,-21.23908625,-23.21282701,-24.60745689,-20.07872105,-19.93633277,-19.84825819,-14.32793366,-13.65825615,-13.09602696
-157,-15.48381695,-15.15663884,-15.42473235,-21.47212893,-23.33496026,-24.14978823,-19.80452755,-19.68505894,-19.60189231,-14.00923946,-13.37569057,-13.12872151
-156,-15.41821709,-14.90858789,-15.35593557,-21.50320178,-22.9197296,-23.12918226,-19.53474542,-19.38714055,-19.275438,-13.72574213,-13.37063561,-13.15007169
-155,-15.37965414,-14.69327209,-15.38113738,-21.12201986,-22.06682031,-22.05307975,-19.13234667,-18.9564264,-18.82517824,-13.71372297,-13.45180006,-12.87345979
-154,-15.34321168,-14.55453042,-15.39960759,-20.45197866,-21.17821924,-21.25532427,-18.63988183,-18.47522906,-18.35668355,-13.76866765,-13.23821573,-12.46290859
-153,-15.30930302,-14.4963393,-15.31446842,-19.77366067,-20.5074086,-20.77058699,-18.20190845,-18.07819165,-17.98921453,-13.53678392,-12.77351271,-12.2904619
-152,-15.29528442,-14.47827063,-15.10248655,-19.25441679,-20.07324546,-20.4533951,-17.91004867,-17.81799236,-17.74324928,-13.07412006,-12.47569445,-12.407363
-151,-15.31624188,-14.43755635,-14.82248974,-18.89637504,-19.75297791,-20.10927373,-17.7340366,-17.62916172,-17.52996346,-12.76664941,-12.55399572,-12.43154413
-150,-15.36957334,-14.32739643,-14.5550606,-18.60227535,-19.39977136,-19.64204315,-17.54870931,-17.3811541,-17.22452754,-12.80641613,-12.77595308,-11.97641431
-149,-15.4324261,-14.14557485,-14.34309294,-18.27049574,-18.95804565,-19.11912189,-17.23201795,-16.98781538,-16.77572379,-12.99897369,-12.65414633,-11.22450359
-148,-15.47285175,-13.92826087,-14.17622367,-17.87735359,-18.49488346,-18.68135824,-16.77015764,-16.48115099,-16.24585236,-12.92688228,-12.0561719,-10.61095279
-147,-15.46805274,-13.71716735,-14.01251482,-17.48595977,-18.12258488,-18.42382798,-16.25628331,-15.96599473,-15.73909454,-12.43589288,-11.35880015,-10.30886652
-146,-15.41697397,-13.53077577,-13.81666599,-17.18384348,-17.9117519,-18.34986254,-15.79369947,-15.52390417,-15.3160218,-11.80504039,-10.8796115,-10.21994255
-145,-15.33715528,-13.35742131,-13.58908651,-17.02142842,-17.85867097,-18.38067418,-15.42258347,-15.16683764,-14.96807861,-11.31524785,-10.64316996,-10.17561977
