============================================================================================
ANSOFT                                                                              09/12/17
Directivity Plot 5                                                                  11:50:11

--------------------------------------------------------------------------------------------
         Theta [deg]                dB(DirL3X) []                dB(DirL3X) []                 dB(DirL3X) []                 dB(DirL3X) []                dB(DirL3X) []                 dB(DirL3X) []                dB(DirL3X) []                 dB(DirL3X) []                 dB(DirL3X) []               dB(DirL3X) []                 dB(DirL3X) []                dB(DirL3X) []
                       Freq='1.71GHz' Phi='45deg'   Freq='1.83GHz' Phi='45deg'   Freq='1.885GHz' Phi='45deg'   Freq='1.915GHz' Phi='45deg'   Freq='2.01GHz' Phi='45deg'   Freq='2.025GHz' Phi='45deg'   Freq='2.49GHz' Phi='45deg'   Freq='2.555GHz' Phi='45deg'   Freq='2.575GHz' Phi='45deg'   Freq='2.6GHz' Phi='45deg'   Freq='2.635GHz' Phi='45deg'   Freq='2.69GHz' Phi='45deg'
-180.000000000000000          -22.175203070943944          -27.088148143747119           -34.407786130474641           -43.260919530758521          -23.728923200974140           -21.422710053276624          -22.146455057533391           -20.227814277734929           -20.183815234145296         -20.600365415120518           -20.784302896356547          -18.507574313818463
-179.000000000000000          -22.175102713914544          -27.557465190612767           -35.256682865410980           -43.133498072656671          -23.451825698339800           -21.125272808158364          -22.131607169018622           -20.362616277389243           -20.331952670116227         -20.745218593170584           -21.020217957856509          -18.834803598336212
-178.000000000000000          -22.234488437650302          -28.191955916065314           -36.091356896085898           -40.842418051791284          -23.173766059203011           -20.856261238966344          -22.199923054974544           -20.613151211456472           -20.605110179546941         -21.022679712730611           -21.398117503889516          -19.325057940821253
-177.000000000000000          -22.355029177963072          -29.020346384773305           -36.626001476392304           -37.987969180006502          -22.888307007495765           -20.610389439928767          -22.351678081865597           -20.987821840273281           -21.013338168393510         -21.444712604686501           -21.935050191318865          -19.997368151803578
-176.000000000000000          -22.539041633552547          -30.085021745956581           -36.485830734544741           -35.397276628516387          -22.589399328682088           -20.381620972194938          -22.586207325551978           -21.496727264433918           -21.569279718991041         -22.027056241523692           -22.654784092510916          -20.879738560633005
-175.000000000000000          -22.789610008847511          -31.448174767536617           -35.536509539937022           -33.178057677394939          -22.272057875359437           -20.163484644055195          -22.901557524391819           -22.151899313321270           -22.288573885458575         -22.790233510727717           -23.591003417947874          -22.012952589565842
-174.000000000000000          -23.110725680386750          -33.196904918285000           -34.046630039429665           -31.278168668216754          -21.932923512562240           -19.949407336412637          -23.293722593030715           -22.966754773027340           -23.189261178907529         -23.759829221856599           -24.791788491303702          -23.455422282402889
-173.000000000000000          -23.507450537431819          -35.420156037809853           -32.375819857130736           -29.634359446347105          -21.570622145709180           -19.733081219674101          -23.755325288848489           -23.953398571447902           -24.287984490667260         -24.963476778538556           -26.324388584416276          -25.284397106303572
-172.000000000000000          -23.986099031292369          -37.975534308819846           -30.739211629558074           -28.196129762983393          -21.185858181613362           -19.508855908650531          -24.273581427318721           -25.114034739670235           -25.586306892816278         -26.415279916759417           -28.270232640695433          -27.561037602861230
-171.000000000000000          -24.554412508981684          -39.442653599972274           -29.221765453604178           -26.925812828591141          -20.781235196610709           -19.272120693717596          -24.827491498402029           -26.417039447677610           -27.028817796176522         -28.056831415714530           -30.645269465727893          -30.075491954364235
-170.000000000000000          -25.221645756250226          -37.792323912851103           -27.844280005172486           -25.795416223308500          -20.360858517241113           -19.019624402929932          -25.384671178103883           -27.739675280875197           -28.399494481904306         -29.583886715873899           -32.927629241465880          -31.442702048041706
-169.000000000000000          -25.998351558071345          -34.798816016375945           -26.602727637927931           -24.783851049862559          -19.929816811126628           -18.749677846987048          -25.899369922641835           -28.778817274886734           -29.201016742827942         -30.242353363037722           -33.192478648663098          -30.030633047398744
-168.000000000000000          -26.895313190733724          -32.075113711988415           -25.485278820231251           -23.874939978827292          -19.493648313708810           -18.462199621445059          -26.314945891915084           -29.087367169500059           -28.921780441365460         -29.443719157070070           -30.959519814202679          -27.420179027587746
-167.000000000000000          -27.920237291891912          -29.823501076158848           -24.478815899943818           -23.056044928674932          -19.057875420184111           -18.158596478611663          -26.574595420663101           -28.479840534820561           -27.707501025776565         -27.721728727855989           -28.275666604986487          -25.031136329988218
-166.000000000000000          -29.068809865350534          -27.957980522043751           -23.571182122393818           -22.317123332118527          -18.627654351463853           -17.841503921275319          -26.639774783402853           -27.278844144433116           -26.141836210940443         -25.851642556628924           -25.974797300306449          -23.085881295340776
-165.000000000000000          -30.302592241424904          -26.386459039656472           -22.751795364315349           -21.650071382096158          -18.207550722418073           -17.514438657291173          -26.506576721304405           -25.912299870430971           -24.613294944734069         -24.160956490928292           -24.102564137251345          -21.523519410343820
-164.000000000000000          -31.502451032241122          -25.041420940891491           -22.011666205884826           -21.048259351595725          -17.801426848284422           -17.181424090455021          -26.207182500225574           -24.619150967693809           -23.260636307135165         -22.715969054985447           -22.579293915136315          -20.264913009208549
-163.000000000000000          -32.408292242253680          -23.875507630130272           -21.343222822931978           -20.506196908733454          -17.412414572662833           -16.846642856457855          -25.795093637776624           -23.485027015339980           -22.109748042004330         -21.504005543248862           -21.331852459204409          -19.249470019972129
-162.000000000000000          -32.664026908585441          -22.855123325329984           -20.740094858893681           -20.019287779016707          -17.042945463808504           -16.514152580743001          -25.326102658923627           -22.527103461501497           -21.150531649158211         -20.496991653793856           -20.306815147678890          -18.434158352002736
-161.000000000000000          -32.111726647205934          -21.955875662629470           -20.196910289912175           -19.583646847755524          -16.694814111199339           -16.187680581241231          -24.846041497092919           -21.738879444739609           -20.364955311529343         -19.668472258806972           -19.466470286142783          -17.788625301522472
